Shipment_ID,Order_ID,Warehouse_ID,Carrier_ID,Dispatch_Date,Expected_Delivery_Date,Actual_Delivery_Date,Distance_KM,Shipping_Cost,Delivery_Status
SH00000126,ORD00000126,WH04,CAR03,2024-01-02,2024-01-05,2024-01-05,1660.2,299.07,On Time
SH00000127,ORD00000127,WH05,CAR02,2024-01-02,2024-01-05,2024-01-05,809.3,285.46,On Time
SH00000128,ORD00000128,WH01,CAR04,2024-01-01,2024-01-04,2024-01-04,1420.1,201.59,On Time
SH00000129,ORD00000129,WH02,CAR05,2024-01-01,2024-01-05,2024-01-05,1361.4,318.43,On Time
SH00000130,ORD00000130,WH03,CAR05,2024-01-03,2024-01-07,2024-01-07,911.3,288.57,On Time
SH00000131,ORD00000131,WH04,CAR01,2024-01-02,2024-01-05,2024-01-05,434.9,228.48,On Time
SH00000132,ORD00000132,WH05,CAR03,2024-01-01,2024-01-03,2024-01-03,13.9,212.83,On Time
SH00000133,ORD00000133,WH01,CAR01,2024-01-01,2024-01-04,2024-01-04,900.8,234.49,On Time
SH00000134,ORD00000134,WH02,CAR03,2024-01-01,2024-01-03,2024-01-03,823.3,245.12,On Time
SH00000135,ORD00000135,WH03,CAR06,2024-01-02,2024-01-05,2024-01-05,15.7,221.21,On Time
SH00000136,ORD00000136,WH04,CAR05,2024-01-02,2024-01-06,2024-01-06,1676.3,340.66,On Time
SH00000137,ORD00000137,WH05,CAR05,2024-01-03,2024-01-08,2024-01-08,651.6,272.93,On Time
SH00000138,ORD00000138,WH01,CAR01,2024-01-01,2024-01-04,2024-01-04,222.2,217.29,On Time
SH00000139,ORD00000139,WH02,CAR06,2024-01-02,2024-01-03,2024-01-03,1472.7,288.19,On Time
SH00000140,ORD00000140,WH03,CAR01,2024-01-01,2024-01-04,2024-01-04,1142.2,281.33,On Time
SH00000141,ORD00000141,WH04,CAR06,2024-01-01,2024-01-04,2024-01-04,790.0,252.38,On Time
SH00000142,ORD00000142,WH05,CAR01,2024-01-01,2024-01-05,2024-01-05,235.8,214.25,On Time
SH00000143,ORD00000143,WH01,CAR05,2024-01-01,2024-01-05,2024-01-05,593.3,284.44,On Time
SH00000144,ORD00000144,WH02,CAR05,2024-01-02,2024-01-06,2024-01-06,1229.6,300.61,On Time
SH00000145,ORD00000145,WH03,CAR02,2024-01-01,2024-01-04,2024-01-04,1502.1,303.01,On Time
SH00000146,ORD00000146,WH04,CAR06,2024-01-01,2024-01-04,2024-01-04,1348.0,295.13,On Time
SH00000147,ORD00000147,WH05,CAR02,2024-01-02,2024-01-04,2024-01-04,313.7,235.0,On Time
SH00000148,ORD00000148,WH01,CAR06,2024-01-01,2024-01-05,2024-01-05,1353.0,295.83,On Time
SH00000149,ORD00000149,WH02,CAR06,2024-01-03,2024-01-07,2024-01-07,1553.6,286.66,On Time
SH00000150,ORD00000150,WH03,CAR03,2024-01-02,2024-01-06,2024-01-06,1587.6,279.62,On Time
SH00000151,ORD00000151,WH04,CAR04,2024-01-02,2024-01-03,2024-01-03,522.5,152.42,On Time
SH00000152,ORD00000152,WH05,CAR03,2024-01-02,2024-01-04,2024-01-04,466.5,245.54,On Time
SH00000153,ORD00000153,WH01,CAR03,2024-01-03,2024-01-05,2024-01-05,1675.8,292.96,On Time
SH00000154,ORD00000154,WH02,CAR04,2024-01-02,2024-01-04,2024-01-04,771.4,161.68,On Time
SH00000155,ORD00000155,WH03,CAR01,2024-01-01,2024-01-04,2024-01-04,1567.0,269.8,On Time
SH00000156,ORD00000156,WH04,CAR02,2024-01-02,2024-01-06,2024-01-06,143.9,233.94,On Time
SH00000157,ORD00000157,WH05,CAR03,2024-01-03,2024-01-05,2024-01-05,61.9,214.04,On Time
SH00000158,ORD00000158,WH01,CAR04,2024-01-01,2024-01-03,2024-01-03,880.7,190.21,On Time
SH00000159,ORD00000159,WH02,CAR04,2024-01-01,2024-01-03,2024-01-03,664.8,174.43,On Time
SH00000160,ORD00000160,WH03,CAR04,2024-01-03,2024-01-07,2024-01-07,1497.7,201.12,On Time
SH00000161,ORD00000161,WH04,CAR05,2024-01-02,2024-01-03,2024-01-03,1655.6,307.93,On Time
SH00000162,ORD00000162,WH05,CAR05,2024-01-02,2024-01-06,2024-01-06,107.3,253.33,On Time
SH00000163,ORD00000163,WH01,CAR03,2024-01-01,2024-01-03,2024-01-03,701.4,262.02,On Time
SH00000164,ORD00000164,WH02,CAR02,2024-01-02,2024-01-03,2024-01-03,1781.2,362.72,On Time
SH00000165,ORD00000165,WH03,CAR02,2024-01-03,2024-01-07,2024-01-07,1318.3,323.42,On Time
SH00000166,ORD00000166,WH04,CAR03,2024-01-02,2024-01-06,2024-01-06,876.1,281.47,On Time
SH00000167,ORD00000167,WH05,CAR05,2024-01-02,2024-01-04,2024-01-04,538.2,291.92,On Time
SH00000168,ORD00000168,WH01,CAR01,2024-01-01,2024-01-04,2024-01-04,768.1,235.44,On Time
SH00000169,ORD00000169,WH02,CAR05,2024-01-01,2024-01-04,2024-01-04,20.2,250.49,On Time
SH00000170,ORD00000170,WH03,CAR01,2024-01-02,2024-01-06,2024-01-06,1565.3,291.24,On Time
SH00000171,ORD00000171,WH04,CAR03,2024-01-02,2024-01-03,2024-01-03,1517.4,257.72,On Time
SH00000172,ORD00000172,WH05,CAR05,2024-01-01,2024-01-05,2024-01-05,357.9,274.14,On Time
SH00000173,ORD00000173,WH01,CAR02,2024-01-02,2024-01-04,2024-01-04,1202.0,278.43,On Time
SH00000174,ORD00000174,WH02,CAR03,2024-01-01,2024-01-06,2024-01-06,1559.0,269.81,On Time
SH00000175,ORD00000175,WH03,CAR06,2024-01-01,2024-01-04,2024-01-04,1051.2,276.65,On Time
SH00000176,ORD00000176,WH04,CAR02,2024-01-02,2024-01-04,2024-01-04,428.0,248.42,On Time
SH00000177,ORD00000177,WH05,CAR05,2024-01-01,2024-01-04,2024-01-04,637.4,287.18,On Time
SH00000178,ORD00000178,WH01,CAR03,2024-01-01,2024-01-04,2024-01-04,1532.6,308.34,On Time
SH00000179,ORD00000179,WH02,CAR05,2024-01-03,2024-01-06,2024-01-06,71.7,254.93,On Time
SH00000180,ORD00000180,WH03,CAR04,2024-01-01,2024-01-05,2024-01-05,1516.9,181.33,On Time
SH00000181,ORD00000181,WH04,CAR04,2024-01-01,2024-01-03,2024-01-03,1290.0,213.07,On Time
SH00000182,ORD00000182,WH05,CAR05,2024-01-02,2024-01-05,2024-01-05,1101.9,326.55,On Time
SH00000183,ORD00000183,WH01,CAR05,2024-01-02,2024-01-06,2024-01-06,1698.7,333.13,On Time
SH00000184,ORD00000184,WH02,CAR02,2024-01-01,2024-01-06,2024-01-06,1103.0,258.62,On Time
SH00000185,ORD00000185,WH03,CAR04,2024-01-02,2024-01-04,2024-01-06,778.7,162.02,Late
SH00000186,ORD00000186,WH04,CAR05,2024-01-01,2024-01-04,2024-01-04,1668.1,365.83,On Time
SH00000187,ORD00000187,WH05,CAR06,2024-01-01,2024-01-03,2024-01-03,1239.0,277.98,On Time
SH00000188,ORD00000188,WH01,CAR04,2024-01-02,2024-01-04,2024-01-04,1434.3,230.7,On Time
SH00000189,ORD00000189,WH02,CAR04,2024-01-01,2024-01-04,2024-01-04,28.5,133.02,On Time
SH00000190,ORD00000190,WH03,CAR04,2024-01-02,2024-01-05,2024-01-05,1413.0,197.41,On Time
SH00000191,ORD00000191,WH04,CAR04,2024-01-02,2024-01-06,2024-01-06,111.6,138.21,On Time
SH00000192,ORD00000192,WH05,CAR04,2024-01-01,2024-01-05,2024-01-05,872.5,188.44,On Time
SH00000193,ORD00000193,WH01,CAR02,2024-01-01,2024-01-03,2024-01-06,260.8,239.68,Late
SH00000194,ORD00000194,WH03,CAR03,2024-01-01,2024-01-06,2024-01-06,158.0,217.13,On Time
SH00000195,ORD00000195,WH04,CAR05,2024-01-01,2024-01-03,2024-01-03,493.0,279.16,On Time
SH00000196,ORD00000196,WH05,CAR03,2024-01-02,2024-01-07,2024-01-07,713.4,265.26,On Time
SH00000197,ORD00000197,WH01,CAR04,2024-01-02,2024-01-04,2024-01-04,559.4,163.77,On Time
SH00000198,ORD00000198,WH02,CAR06,2024-01-02,2024-01-05,2024-01-05,1668.3,293.08,On Time
SH00000199,ORD00000199,WH03,CAR05,2024-01-02,2024-01-05,2024-01-05,877.9,300.73,On Time
SH00000200,ORD00000200,WH04,CAR05,2024-01-02,2024-01-05,2024-01-06,1012.1,307.3,Late
SH00000201,ORD00000201,WH05,CAR04,2024-01-03,2024-01-06,2024-01-06,662.6,173.96,On Time
SH00000202,ORD00000202,WH01,CAR02,2024-01-02,2024-01-04,2024-01-04,668.6,275.16,On Time
SH00000203,ORD00000203,WH02,CAR04,2024-01-02,2024-01-05,2024-01-07,566.8,156.15,Late
SH00000204,ORD00000204,WH03,CAR01,2024-01-02,2024-01-03,2024-01-03,444.1,220.43,On Time
SH00000205,ORD00000205,WH04,CAR02,2024-01-03,2024-01-04,2024-01-04,1109.7,271.0,On Time
SH00000206,ORD00000206,WH05,CAR01,2024-01-04,2024-01-08,2024-01-08,382.7,225.97,On Time
SH00000207,ORD00000207,WH01,CAR03,2024-01-02,2024-01-05,2024-01-05,112.4,219.2,On Time
SH00000208,ORD00000208,WH02,CAR02,2024-01-03,2024-01-06,2024-01-06,105.0,230.23,On Time
SH00000209,ORD00000209,WH03,CAR05,2024-01-03,2024-01-06,2024-01-06,147.7,257.22,On Time
SH00000210,ORD00000210,WH04,CAR06,2024-01-02,2024-01-04,2024-01-04,733.3,250.54,On Time
SH00000211,ORD00000211,WH05,CAR04,2024-01-02,2024-01-04,2024-01-04,1663.5,231.89,On Time
SH00000212,ORD00000212,WH01,CAR06,2024-01-04,2024-01-06,2024-01-06,1490.8,293.08,On Time
SH00000213,ORD00000213,WH02,CAR04,2024-01-02,2024-01-05,2024-01-05,1564.4,253.17,On Time
SH00000214,ORD00000214,WH03,CAR06,2024-01-02,2024-01-04,2024-01-04,1107.6,293.49,On Time
SH00000215,ORD00000215,WH04,CAR03,2024-01-02,2024-01-04,2024-01-04,1616.0,261.21,On Time
SH00000216,ORD00000216,WH05,CAR03,2024-01-03,2024-01-06,2024-01-06,1595.3,279.09,On Time
SH00000217,ORD00000217,WH01,CAR01,2024-01-03,2024-01-04,2024-01-04,543.9,238.08,On Time
SH00000218,ORD00000218,WH02,CAR05,2024-01-03,2024-01-06,2024-01-06,185.6,256.65,On Time
SH00000219,ORD00000219,WH03,CAR03,2024-01-02,2024-01-05,2024-01-05,1495.6,305.9,On Time
SH00000220,ORD00000220,WH05,CAR01,2024-01-03,2024-01-04,2024-01-04,1353.1,285.71,On Time
SH00000221,ORD00000221,WH01,CAR03,2024-01-02,2024-01-06,2024-01-06,352.0,239.72,On Time
SH00000222,ORD00000222,WH02,CAR06,2024-01-04,2024-01-06,2024-01-06,860.1,265.96,On Time
SH00000223,ORD00000223,WH03,CAR05,2024-01-03,2024-01-05,2024-01-05,1218.3,307.37,On Time
SH00000224,ORD00000224,WH04,CAR03,2024-01-03,2024-01-06,2024-01-06,422.9,242.02,On Time
SH00000225,ORD00000225,WH01,CAR05,2024-01-02,2024-01-04,2024-01-04,938.2,321.45,On Time
SH00000226,ORD00000226,WH02,CAR06,2024-01-02,2024-01-04,2024-01-04,285.0,241.29,On Time
SH00000227,ORD00000227,WH03,CAR03,2024-01-02,2024-01-04,2024-01-04,464.1,241.53,On Time
SH00000228,ORD00000228,WH04,CAR05,2024-01-02,2024-01-05,2024-01-05,964.3,290.22,On Time
SH00000229,ORD00000229,WH05,CAR03,2024-01-03,2024-01-08,2024-01-08,147.8,220.23,On Time
SH00000230,ORD00000230,WH01,CAR02,2024-01-04,2024-01-09,2024-01-09,351.4,250.86,On Time
SH00000231,ORD00000231,WH02,CAR05,2024-01-02,2024-01-03,2024-01-05,669.7,300.59,Late
SH00000232,ORD00000232,WH03,CAR01,2024-01-04,2024-01-08,2024-01-08,361.7,230.57,On Time
SH00000233,ORD00000233,WH04,CAR06,2024-01-04,2024-01-07,2024-01-07,986.3,292.38,On Time
SH00000234,ORD00000234,WH05,CAR06,2024-01-02,2024-01-05,2024-01-06,977.0,281.0,Late
SH00000235,ORD00000235,WH02,CAR02,2024-01-03,2024-01-04,2024-01-04,515.9,252.67,On Time
SH00000236,ORD00000236,WH03,CAR05,2024-01-02,2024-01-04,2024-01-04,799.9,277.61,On Time
SH00000237,ORD00000237,WH04,CAR04,2024-01-02,2024-01-05,2024-01-05,723.8,164.19,On Time
SH00000238,ORD00000238,WH05,CAR06,2024-01-03,2024-01-06,2024-01-06,437.2,249.63,On Time
SH00000239,ORD00000239,WH01,CAR02,2024-01-03,2024-01-06,2024-01-06,1406.1,331.18,On Time
SH00000240,ORD00000240,WH02,CAR04,2024-01-02,2024-01-04,2024-01-04,1701.3,220.13,On Time
SH00000241,ORD00000241,WH03,CAR06,2024-01-04,2024-01-08,2024-01-08,364.0,231.68,On Time
SH00000242,ORD00000242,WH04,CAR05,2024-01-03,2024-01-06,2024-01-06,628.8,284.26,On Time
SH00000243,ORD00000243,WH05,CAR05,2024-01-04,2024-01-07,2024-01-07,1015.9,315.38,On Time
SH00000244,ORD00000244,WH01,CAR04,2024-01-02,2024-01-05,2024-01-05,1323.2,189.97,On Time
SH00000245,ORD00000245,WH02,CAR04,2024-01-04,2024-01-07,2024-01-07,78.8,135.91,On Time
SH00000246,ORD00000246,WH03,CAR02,2024-01-02,2024-01-06,2024-01-06,1726.6,323.73,On Time
SH00000247,ORD00000247,WH04,CAR06,2024-01-02,2024-01-04,2024-01-04,65.3,223.45,On Time
SH00000248,ORD00000248,WH05,CAR05,2024-01-03,2024-01-05,2024-01-05,1772.8,354.78,On Time
SH00000249,ORD00000249,WH01,CAR01,2024-01-02,2024-01-06,2024-01-06,176.8,211.74,On Time
