PO_ID,Supplier_ID,Product_ID,Warehouse_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Qty,Received_Qty,Unit_Cost,PO_Value
PO0000028,S006,P0024,WH01,2024-01-05,2024-01-13,2024-01-13,51,49,692.29,35306.89
PO0000029,S006,P0034,WH01,2024-01-05,2024-01-11,2024-01-11,50,50,3094.88,154744.0
PO0000030,S006,P0034,WH02,2024-01-05,2024-01-12,2024-01-12,50,48,2903.69,145184.57
PO0000031,S012,P0040,WH05,2024-01-05,2024-01-17,2024-01-17,50,50,713.34,35667.11
PO0000032,S011,P0006,WH01,2024-01-06,2024-01-11,2024-01-13,50,48,2683.73,134186.33
PO0000033,S011,P0012,WH01,2024-01-06,2024-01-08,2024-01-10,50,47,2339.15,116957.25
PO0000034,S007,P0013,WH04,2024-01-06,2024-01-12,2024-01-12,50,48,2693.57,134678.68
PO0000035,S006,P0025,WH05,2024-01-06,2024-01-10,2024-01-11,171,169,1451.31,248173.55
PO0000036,S004,P0031,WH02,2024-01-06,2024-01-15,2024-01-18,61,61,475.37,28997.7
PO0000037,S004,P0033,WH05,2024-01-06,2024-01-13,2024-01-13,76,74,2075.23,157717.65
PO0000038,S012,P0040,WH03,2024-01-06,2024-01-18,2024-01-23,75,71,692.39,51929.39
PO0000039,S012,P0040,WH04,2024-01-06,2024-01-18,2024-01-18,51,50,753.62,38434.67
PO0000040,S012,P0040,WH05,2024-01-06,2024-01-16,2024-01-19,57,54,726.68,41420.74
PO0000041,S009,P0001,WH04,2024-01-07,2024-01-15,2024-01-15,179,165,1433.67,256626.26
PO0000042,S009,P0002,WH04,2024-01-07,2024-01-15,2024-01-15,239,226,778.41,186039.39
PO0000043,S008,P0004,WH03,2024-01-07,2024-01-10,2024-01-10,207,191,1611.21,333520.5
PO0000044,S009,P0005,WH01,2024-01-07,2024-01-14,2024-01-14,85,79,1181.1,100393.59
PO0000045,S004,P0007,WH03,2024-01-07,2024-01-11,2024-01-11,250,238,2396.21,599053.09
PO0000046,S010,P0008,WH01,2024-01-07,2024-01-17,2024-01-18,105,103,798.95,83889.97
PO0000047,S010,P0008,WH05,2024-01-07,2024-01-15,2024-01-15,129,128,845.28,109041.21
PO0000048,S007,P0011,WH03,2024-01-07,2024-01-10,2024-01-13,183,172,622.88,113986.87
PO0000049,S007,P0011,WH04,2024-01-07,2024-01-14,2024-01-14,100,95,621.47,62146.79
PO0000050,S007,P0013,WH02,2024-01-07,2024-01-13,2024-01-13,72,68,2684.93,193314.73
PO0000051,S007,P0013,WH05,2024-01-07,2024-01-10,2024-01-10,50,46,2749.21,137460.36
PO0000052,S012,P0016,WH04,2024-01-07,2024-01-15,2024-01-15,236,225,836.44,197399.17
PO0000053,S011,P0017,WH05,2024-01-07,2024-01-09,2024-01-09,214,204,937.37,200596.8
PO0000054,S008,P0019,WH01,2024-01-07,2024-01-10,2024-01-11,177,172,1937.36,342913.48
PO0000055,S008,P0019,WH05,2024-01-07,2024-01-11,2024-01-14,199,185,1986.86,395385.69
PO0000056,S009,P0022,WH01,2024-01-07,2024-01-16,2024-01-16,50,48,473.84,23692.02
PO0000057,S006,P0023,WH02,2024-01-07,2024-01-12,2024-01-12,88,88,672.15,59149.08
PO0000058,S006,P0024,WH02,2024-01-07,2024-01-13,2024-01-13,63,63,647.51,40793.16
PO0000059,S006,P0024,WH04,2024-01-07,2024-01-14,2024-01-19,61,61,653.71,39876.09
PO0000060,S006,P0025,WH02,2024-01-07,2024-01-12,2024-01-12,199,195,1477.12,293947.3
PO0000061,S006,P0025,WH03,2024-01-07,2024-01-14,2024-01-16,228,227,1486.36,338890.14
PO0000062,S012,P0026,WH01,2024-01-07,2024-01-18,2024-01-18,289,283,2352.07,679747.98
PO0000063,S012,P0026,WH02,2024-01-07,2024-01-18,2024-01-18,341,333,2327.31,793612.25
PO0000064,S012,P0026,WH03,2024-01-07,2024-01-17,2024-01-18,328,317,2143.83,703176.94
PO0000065,S002,P0027,WH03,2024-01-07,2024-01-14,2024-01-14,216,203,523.34,113042.5
PO0000066,S004,P0031,WH01,2024-01-07,2024-01-11,2024-01-12,50,47,478.17,23908.68
PO0000067,S004,P0031,WH02,2024-01-07,2024-01-15,2024-01-16,61,59,461.66,28160.96
PO0000068,S006,P0034,WH02,2024-01-07,2024-01-12,2024-01-15,50,49,2859.57,142978.55
PO0000069,S006,P0034,WH04,2024-01-07,2024-01-14,2024-01-15,50,49,3065.57,153278.68
PO0000070,S008,P0036,WH01,2024-01-07,2024-01-10,2024-01-10,240,224,2063.34,495201.66
PO0000071,S008,P0036,WH03,2024-01-07,2024-01-11,2024-01-11,372,341,2197.13,817332.07
PO0000072,S002,P0037,WH01,2024-01-07,2024-01-14,2024-01-19,70,66,1617.72,113240.6
PO0000073,S002,P0037,WH02,2024-01-07,2024-01-15,2024-01-17,115,108,1464.98,168472.99
PO0000074,S012,P0040,WH01,2024-01-07,2024-01-18,2024-01-21,51,48,698.64,35630.72
PO0000075,S012,P0040,WH02,2024-01-07,2024-01-18,2024-01-18,62,61,678.98,42096.54
PO0000076,S012,P0040,WH03,2024-01-07,2024-01-19,2024-01-19,76,74,724.86,55089.53
PO0000077,S012,P0040,WH04,2024-01-07,2024-01-18,2024-01-18,50,49,703.82,35191.23
PO0000078,S009,P0001,WH03,2024-01-08,2024-01-17,2024-01-18,249,241,1370.06,341144.05
PO0000079,S009,P0002,WH05,2024-01-08,2024-01-17,2024-01-19,223,213,810.53,180748.47
PO0000080,S008,P0004,WH02,2024-01-08,2024-01-12,2024-01-12,218,200,1700.29,370663.65
PO0000081,S009,P0005,WH01,2024-01-08,2024-01-17,2024-01-17,66,63,1147.47,75732.88
PO0000082,S010,P0008,WH02,2024-01-08,2024-01-17,2024-01-17,94,90,862.8,81103.44
PO0000083,S010,P0009,WH01,2024-01-08,2024-01-14,2024-01-17,58,57,2504.33,145251.38
PO0000084,S007,P0010,WH05,2024-01-08,2024-01-13,2024-01-14,84,79,2767.3,232452.8
PO0000085,S007,P0011,WH02,2024-01-08,2024-01-14,2024-01-15,175,168,632.42,110673.14
PO0000086,S007,P0011,WH04,2024-01-08,2024-01-10,2024-01-10,109,104,596.19,64984.61
PO0000087,S011,P0012,WH01,2024-01-08,2024-01-11,2024-01-16,50,47,2509.11,125455.29
PO0000088,S011,P0012,WH04,2024-01-08,2024-01-10,2024-01-10,50,48,2316.7,115834.99
PO0000089,S007,P0013,WH04,2024-01-08,2024-01-12,2024-01-12,52,51,2847.39,148064.11
PO0000090,S010,P0014,WH02,2024-01-08,2024-01-19,2024-01-22,224,221,2084.96,467030.35
PO0000091,S010,P0014,WH05,2024-01-08,2024-01-18,2024-01-18,202,199,2040.37,412155.64
PO0000092,S004,P0015,WH04,2024-01-08,2024-01-13,2024-01-13,77,75,258.94,19938.71
PO0000093,S012,P0016,WH04,2024-01-08,2024-01-19,2024-01-21,291,288,819.19,238383.15
PO0000094,S011,P0017,WH01,2024-01-08,2024-01-11,2024-01-11,215,200,980.78,210868.7
PO0000095,S011,P0017,WH02,2024-01-08,2024-01-10,2024-01-10,271,264,975.38,264326.66
PO0000096,S011,P0017,WH03,2024-01-08,2024-01-12,2024-01-17,412,396,882.88,363745.76
PO0000097,S006,P0018,WH01,2024-01-08,2024-01-14,2024-01-14,50,48,1100.62,55030.76
PO0000098,S006,P0020,WH01,2024-01-08,2024-01-14,2024-01-15,182,182,2321.98,422601.04
PO0000099,S010,P0021,WH02,2024-01-08,2024-01-15,2024-01-15,306,301,677.91,207439.1
PO0000100,S009,P0022,WH05,2024-01-08,2024-01-16,2024-01-16,50,49,437.35,21867.41
PO0000101,S006,P0023,WH01,2024-01-08,2024-01-15,2024-01-15,75,74,707.87,53090.56
PO0000102,S006,P0023,WH03,2024-01-08,2024-01-14,2024-01-19,71,71,731.15,51911.77
PO0000103,S006,P0024,WH04,2024-01-08,2024-01-16,2024-01-16,50,49,672.96,33647.8
PO0000104,S012,P0026,WH01,2024-01-08,2024-01-19,2024-01-21,192,187,2294.01,440450.23
PO0000105,S002,P0027,WH04,2024-01-08,2024-01-14,2024-01-16,178,167,571.18,101669.96
PO0000106,S006,P0028,WH05,2024-01-08,2024-01-14,2024-01-16,223,217,3184.24,710086.58
PO0000107,S004,P0029,WH03,2024-01-08,2024-01-15,2024-01-15,295,273,3352.22,988903.51
PO0000108,S004,P0029,WH05,2024-01-08,2024-01-14,2024-01-19,330,318,3535.19,1166613.0
PO0000109,S009,P0030,WH02,2024-01-08,2024-01-15,2024-01-16,157,144,2462.48,386609.27
PO0000110,S009,P0030,WH04,2024-01-08,2024-01-17,2024-01-18,164,155,2608.08,427725.72
PO0000111,S009,P0030,WH05,2024-01-08,2024-01-17,2024-01-19,153,145,2410.27,368770.56
PO0000112,S009,P0032,WH02,2024-01-08,2024-01-16,2024-01-16,309,290,1744.91,539176.01
PO0000113,S009,P0032,WH03,2024-01-08,2024-01-17,2024-01-17,389,368,1621.24,630660.69
PO0000114,S004,P0033,WH03,2024-01-08,2024-01-13,2024-01-13,154,148,2158.02,332335.49
PO0000115,S008,P0036,WH02,2024-01-08,2024-01-12,2024-01-12,315,283,2072.98,652989.24
PO0000116,S008,P0036,WH05,2024-01-08,2024-01-13,2024-01-14,248,228,2134.65,529393.6
PO0000117,S008,P0038,WH03,2024-01-08,2024-01-12,2024-01-15,199,186,1882.14,374545.78
PO0000118,S002,P0039,WH02,2024-01-08,2024-01-12,2024-01-14,114,104,484.91,55279.32
PO0000119,S009,P0001,WH01,2024-01-09,2024-01-19,2024-01-19,148,139,1328.86,196671.83
PO0000120,S009,P0001,WH02,2024-01-09,2024-01-18,2024-01-18,175,165,1342.96,235018.24
PO0000121,S009,P0001,WH03,2024-01-09,2024-01-17,2024-01-20,239,225,1311.86,313533.37
PO0000122,S009,P0002,WH03,2024-01-09,2024-01-16,2024-01-16,212,194,764.64,162103.03
PO0000123,S006,P0003,WH01,2024-01-09,2024-01-13,2024-01-15,206,205,957.18,197178.63
PO0000124,S009,P0005,WH02,2024-01-09,2024-01-17,2024-01-17,103,98,1152.03,118659.16
PO0000125,S011,P0006,WH02,2024-01-09,2024-01-15,2024-01-18,50,49,2936.28,146813.99
PO0000126,S011,P0006,WH05,2024-01-09,2024-01-14,2024-01-15,50,47,2873.87,143693.63
PO0000127,S004,P0007,WH01,2024-01-09,2024-01-15,2024-01-15,155,148,2467.24,382422.88
PO0000128,S004,P0007,WH05,2024-01-09,2024-01-14,2024-01-14,115,108,2536.29,291673.32
PO0000129,S010,P0008,WH05,2024-01-09,2024-01-18,2024-01-18,82,81,822.89,67477.26
PO0000130,S010,P0009,WH02,2024-01-09,2024-01-17,2024-01-18,69,69,2462.7,169926.09
PO0000131,S010,P0009,WH03,2024-01-09,2024-01-18,2024-01-18,55,55,2443.86,134412.52
PO0000132,S010,P0009,WH04,2024-01-09,2024-01-18,2024-01-18,73,73,2288.61,167068.28
PO0000133,S007,P0010,WH03,2024-01-09,2024-01-16,2024-01-16,121,114,2731.43,330502.6
PO0000134,S007,P0010,WH05,2024-01-09,2024-01-16,2024-01-19,82,76,2703.25,221666.13
PO0000135,S007,P0011,WH01,2024-01-09,2024-01-15,2024-01-15,98,94,654.13,64104.67
PO0000136,S007,P0011,WH02,2024-01-09,2024-01-12,2024-01-13,149,144,608.27,90632.6
PO0000137,S011,P0012,WH01,2024-01-09,2024-01-11,2024-01-12,50,48,2405.42,120270.77
PO0000138,S011,P0012,WH02,2024-01-09,2024-01-12,2024-01-13,66,62,2272.65,149994.93
PO0000139,S011,P0012,WH04,2024-01-09,2024-01-11,2024-01-11,50,47,2443.87,122193.44
PO0000140,S007,P0013,WH05,2024-01-09,2024-01-14,2024-01-14,50,49,2694.55,134727.69
PO0000141,S004,P0015,WH01,2024-01-09,2024-01-17,2024-01-17,82,78,250.4,20532.63
PO0000142,S012,P0016,WH04,2024-01-09,2024-01-21,2024-01-24,252,244,919.81,231792.73
PO0000143,S011,P0017,WH01,2024-01-09,2024-01-11,2024-01-11,260,244,987.87,256847.23
PO0000144,S006,P0018,WH03,2024-01-09,2024-01-16,2024-01-16,73,73,1087.36,79377.29
PO0000145,S006,P0018,WH04,2024-01-09,2024-01-17,2024-01-17,79,77,1030.06,81374.91
PO0000146,S008,P0019,WH05,2024-01-09,2024-01-11,2024-01-11,149,143,2079.24,309806.09
PO0000147,S006,P0020,WH02,2024-01-09,2024-01-17,2024-01-17,237,228,2503.73,593384.42
PO0000148,S006,P0020,WH04,2024-01-09,2024-01-15,2024-01-15,144,141,2315.84,333480.49
PO0000149,S010,P0021,WH02,2024-01-09,2024-01-19,2024-01-19,214,211,669.72,143319.54
PO0000150,S010,P0021,WH03,2024-01-09,2024-01-18,2024-01-18,223,217,716.1,159690.0
PO0000151,S009,P0022,WH05,2024-01-09,2024-01-17,2024-01-20,50,46,448.94,22447.04
PO0000152,S006,P0023,WH02,2024-01-09,2024-01-14,2024-01-17,78,77,675.57,52694.69
PO0000153,S006,P0024,WH01,2024-01-09,2024-01-16,2024-01-16,56,53,655.36,36699.98
PO0000154,S006,P0024,WH03,2024-01-09,2024-01-17,2024-01-18,79,78,658.79,52044.8
PO0000155,S006,P0024,WH05,2024-01-09,2024-01-14,2024-01-16,50,50,679.0,33949.95
PO0000156,S002,P0027,WH02,2024-01-09,2024-01-16,2024-01-16,165,158,538.86,88912.34
PO0000157,S002,P0027,WH03,2024-01-09,2024-01-14,2024-01-15,223,208,565.48,126102.65
PO0000158,S006,P0028,WH01,2024-01-09,2024-01-15,2024-01-18,184,181,3003.16,552582.36
PO0000159,S006,P0028,WH03,2024-01-09,2024-01-15,2024-01-20,272,266,3345.9,910085.8
PO0000160,S006,P0028,WH05,2024-01-09,2024-01-13,2024-01-13,224,222,3289.73,736898.49
PO0000161,S004,P0029,WH04,2024-01-09,2024-01-16,2024-01-16,204,198,3334.59,680257.15
PO0000162,S009,P0030,WH01,2024-01-09,2024-01-18,2024-01-18,160,156,2471.39,395423.09
PO0000163,S009,P0030,WH03,2024-01-09,2024-01-18,2024-01-23,204,195,2615.39,533538.95
PO0000164,S009,P0030,WH04,2024-01-09,2024-01-20,2024-01-22,121,114,2562.3,310037.99
PO0000165,S004,P0031,WH05,2024-01-09,2024-01-15,2024-01-15,50,48,500.3,25014.82
PO0000166,S009,P0032,WH05,2024-01-09,2024-01-19,2024-01-19,152,146,1749.15,265870.8
PO0000167,S004,P0033,WH01,2024-01-09,2024-01-16,2024-01-16,81,78,2112.09,171079.46
PO0000168,S004,P0033,WH05,2024-01-09,2024-01-17,2024-01-17,85,81,2055.99,174759.19
PO0000169,S009,P0035,WH02,2024-01-09,2024-01-18,2024-01-19,169,153,1672.06,282577.39
PO0000170,S008,P0038,WH03,2024-01-09,2024-01-13,2024-01-13,202,190,1713.78,346184.04
PO0000171,S002,P0039,WH04,2024-01-09,2024-01-17,2024-01-18,53,50,482.42,25568.02
PO0000172,S012,P0040,WH05,2024-01-09,2024-01-20,2024-01-20,50,49,720.99,36049.43
PO0000173,S009,P0001,WH02,2024-01-10,2024-01-19,2024-01-21,174,167,1442.99,251080.01
PO0000174,S009,P0001,WH03,2024-01-10,2024-01-19,2024-01-19,174,164,1418.67,246848.1
PO0000175,S009,P0002,WH01,2024-01-10,2024-01-20,2024-01-20,202,189,824.29,166506.79
PO0000176,S009,P0002,WH02,2024-01-10,2024-01-17,2024-01-18,199,190,786.92,156596.69
PO0000177,S009,P0002,WH03,2024-01-10,2024-01-17,2024-01-17,319,298,779.6,248692.6
PO0000178,S008,P0004,WH01,2024-01-10,2024-01-13,2024-01-13,210,196,1539.36,323265.5
PO0000179,S008,P0004,WH04,2024-01-10,2024-01-13,2024-01-16,139,133,1560.09,216852.28
PO0000180,S009,P0005,WH02,2024-01-10,2024-01-18,2024-01-21,108,99,1157.25,124983.06
PO0000181,S004,P0007,WH02,2024-01-10,2024-01-17,2024-01-17,224,216,2299.44,515073.67
PO0000182,S004,P0007,WH05,2024-01-10,2024-01-16,2024-01-18,128,123,2310.18,295702.87
PO0000183,S010,P0009,WH01,2024-01-10,2024-01-15,2024-01-15,50,50,2364.65,118232.27
PO0000184,S010,P0009,WH04,2024-01-10,2024-01-18,2024-01-18,64,64,2255.51,144352.33
PO0000185,S010,P0009,WH05,2024-01-10,2024-01-18,2024-01-18,61,60,2302.06,140425.65
PO0000186,S007,P0010,WH01,2024-01-10,2024-01-15,2024-01-18,83,74,2700.73,224160.53
PO0000187,S007,P0010,WH05,2024-01-10,2024-01-16,2024-01-17,64,62,2680.29,171538.71
PO0000188,S007,P0011,WH01,2024-01-10,2024-01-13,2024-01-13,117,111,599.82,70178.38
PO0000189,S007,P0011,WH05,2024-01-10,2024-01-12,2024-01-12,82,78,586.14,48063.57
PO0000190,S007,P0013,WH03,2024-01-10,2024-01-12,2024-01-12,78,75,2616.78,204108.71
PO0000191,S007,P0013,WH04,2024-01-10,2024-01-14,2024-01-17,50,47,2643.1,132155.16
PO0000192,S010,P0014,WH02,2024-01-10,2024-01-18,2024-01-18,308,305,1887.5,581348.72
PO0000193,S010,P0014,WH04,2024-01-10,2024-01-18,2024-01-19,194,193,2044.48,396628.41
PO0000194,S010,P0014,WH05,2024-01-10,2024-01-17,2024-01-17,226,222,2071.32,468118.62
PO0000195,S004,P0015,WH02,2024-01-10,2024-01-15,2024-01-15,116,110,244.1,28316.05
PO0000196,S004,P0015,WH03,2024-01-10,2024-01-17,2024-01-17,166,160,241.45,40081.02
PO0000197,S012,P0016,WH02,2024-01-10,2024-01-21,2024-01-21,222,216,904.91,200890.25
PO0000198,S012,P0016,WH05,2024-01-10,2024-01-19,2024-01-19,253,242,821.32,207793.77
PO0000199,S006,P0018,WH01,2024-01-10,2024-01-16,2024-01-16,73,72,1158.05,84537.58
PO0000200,S006,P0018,WH05,2024-01-10,2024-01-15,2024-01-15,50,49,1144.83,57241.52
PO0000201,S006,P0020,WH05,2024-01-10,2024-01-16,2024-01-21,173,169,2470.39,427377.07
PO0000202,S010,P0021,WH04,2024-01-10,2024-01-17,2024-01-18,177,174,715.46,126636.72
PO0000203,S010,P0021,WH05,2024-01-10,2024-01-19,2024-01-20,214,209,741.74,158732.7
PO0000204,S009,P0022,WH03,2024-01-10,2024-01-16,2024-01-16,50,49,459.84,22991.97
PO0000205,S006,P0023,WH04,2024-01-10,2024-01-17,2024-01-17,57,53,694.97,39613.15
PO0000206,S006,P0023,WH05,2024-01-10,2024-01-16,2024-01-18,53,52,730.4,38710.97
PO0000207,S006,P0025,WH03,2024-01-10,2024-01-14,2024-01-14,180,178,1502.41,270434.08
PO0000208,S006,P0025,WH04,2024-01-10,2024-01-17,2024-01-18,161,159,1426.95,229739.41
PO0000209,S012,P0026,WH02,2024-01-10,2024-01-21,2024-01-21,338,331,2251.94,761155.4
PO0000210,S012,P0026,WH05,2024-01-10,2024-01-20,2024-01-25,192,186,2264.0,434688.64
PO0000211,S002,P0027,WH03,2024-01-10,2024-01-18,2024-01-19,174,163,519.54,90399.89
PO0000212,S002,P0027,WH05,2024-01-10,2024-01-15,2024-01-20,190,174,512.91,97452.27
PO0000213,S006,P0028,WH02,2024-01-10,2024-01-17,2024-01-17,265,261,3301.45,874883.15
PO0000214,S006,P0028,WH04,2024-01-10,2024-01-16,2024-01-19,218,215,3088.54,673301.31
PO0000215,S004,P0029,WH02,2024-01-10,2024-01-19,2024-01-21,207,200,3432.58,710545.02
PO0000216,S004,P0031,WH05,2024-01-10,2024-01-17,2024-01-17,50,48,450.15,22507.4
PO0000217,S009,P0032,WH02,2024-01-10,2024-01-19,2024-01-20,222,209,1774.01,393829.8
PO0000218,S006,P0034,WH02,2024-01-10,2024-01-15,2024-01-18,50,49,3190.19,159509.45
PO0000219,S006,P0034,WH03,2024-01-10,2024-01-15,2024-01-17,52,52,3110.89,161766.53
PO0000220,S006,P0034,WH05,2024-01-10,2024-01-16,2024-01-18,50,50,2871.9,143595.06
PO0000221,S009,P0035,WH02,2024-01-10,2024-01-18,2024-01-20,220,206,1557.78,342712.05
PO0000222,S008,P0036,WH03,2024-01-10,2024-01-13,2024-01-15,335,315,2224.77,745298.89
PO0000223,S008,P0036,WH05,2024-01-10,2024-01-12,2024-01-14,301,275,2116.82,637162.24
PO0000224,S002,P0037,WH04,2024-01-10,2024-01-16,2024-01-18,60,58,1524.94,91496.35
PO0000225,S009,P0001,WH03,2024-01-11,2024-01-17,2024-01-17,245,227,1427.98,349856.3
PO0000226,S009,P0002,WH01,2024-01-11,2024-01-20,2024-01-20,158,149,761.94,120387.08
PO0000227,S009,P0002,WH02,2024-01-11,2024-01-20,2024-01-20,165,161,820.24,135340.1
PO0000228,S006,P0003,WH03,2024-01-11,2024-01-17,2024-01-19,239,235,896.88,214355.5
PO0000229,S008,P0004,WH02,2024-01-11,2024-01-14,2024-01-14,267,243,1602.26,427802.3
PO0000230,S009,P0005,WH02,2024-01-11,2024-01-21,2024-01-21,75,70,1184.33,88824.63
PO0000231,S009,P0005,WH04,2024-01-11,2024-01-18,2024-01-18,80,73,1141.08,91286.34
PO0000232,S004,P0007,WH01,2024-01-11,2024-01-17,2024-01-19,176,166,2428.06,427338.43
PO0000233,S004,P0007,WH02,2024-01-11,2024-01-17,2024-01-17,244,234,2406.99,587305.1
PO0000234,S004,P0007,WH04,2024-01-11,2024-01-17,2024-01-17,170,161,2571.71,437190.68
PO0000235,S010,P0008,WH01,2024-01-11,2024-01-19,2024-01-19,118,116,842.41,99404.25
PO0000236,S010,P0008,WH02,2024-01-11,2024-01-21,2024-01-21,114,113,824.26,93965.72
PO0000237,S010,P0009,WH01,2024-01-11,2024-01-20,2024-01-20,62,62,2422.99,150225.48
PO0000238,S007,P0010,WH04,2024-01-11,2024-01-15,2024-01-18,90,86,2922.24,263001.81
PO0000239,S007,P0011,WH01,2024-01-11,2024-01-18,2024-01-18,115,112,606.68,69767.91
PO0000240,S007,P0011,WH02,2024-01-11,2024-01-15,2024-01-15,165,158,586.56,96782.66
PO0000241,S007,P0011,WH03,2024-01-11,2024-01-16,2024-01-21,129,122,596.99,77011.22
PO0000242,S007,P0011,WH05,2024-01-11,2024-01-16,2024-01-16,121,116,641.37,77606.01
PO0000243,S007,P0013,WH03,2024-01-11,2024-01-18,2024-01-18,75,68,2864.96,214872.25
PO0000244,S010,P0014,WH05,2024-01-11,2024-01-19,2024-01-24,168,167,2101.17,352995.96
PO0000245,S004,P0015,WH04,2024-01-11,2024-01-17,2024-01-17,67,67,242.06,16218.15
PO0000246,S011,P0017,WH04,2024-01-11,2024-01-16,2024-01-16,230,219,931.85,214324.75
PO0000247,S006,P0018,WH04,2024-01-11,2024-01-17,2024-01-19,50,49,1155.41,57770.43
PO0000248,S006,P0018,WH05,2024-01-11,2024-01-15,2024-01-18,66,65,1121.77,74036.99
PO0000249,S006,P0020,WH02,2024-01-11,2024-01-17,2024-01-22,144,143,2301.73,331448.43
PO0000250,S006,P0020,WH05,2024-01-11,2024-01-18,2024-01-18,150,148,2292.07,343810.47
PO0000251,S010,P0021,WH01,2024-01-11,2024-01-19,2024-01-19,131,127,751.02,98383.68
PO0000252,S010,P0021,WH03,2024-01-11,2024-01-18,2024-01-18,221,221,692.13,152959.9
PO0000253,S010,P0021,WH04,2024-01-11,2024-01-18,2024-01-18,206,205,739.48,152333.75
PO0000254,S009,P0022,WH02,2024-01-11,2024-01-19,2024-01-20,50,44,443.72,22186.24
PO0000255,S009,P0022,WH05,2024-01-11,2024-01-18,2024-01-21,50,47,469.79,23489.28
PO0000256,S006,P0024,WH01,2024-01-11,2024-01-17,2024-01-17,50,50,629.86,31492.75
PO0000257,S006,P0024,WH05,2024-01-11,2024-01-15,2024-01-15,50,50,680.35,34017.68
PO0000258,S012,P0026,WH01,2024-01-11,2024-01-19,2024-01-20,189,181,2189.63,413839.61
PO0000259,S012,P0026,WH05,2024-01-11,2024-01-21,2024-01-21,257,247,2242.5,576322.04
PO0000260,S002,P0027,WH03,2024-01-11,2024-01-19,2024-01-19,302,282,546.93,165173.75
PO0000261,S006,P0028,WH03,2024-01-11,2024-01-17,2024-01-17,282,274,3266.64,921191.67
PO0000262,S004,P0029,WH01,2024-01-11,2024-01-18,2024-01-21,268,259,3571.98,957291.03
PO0000263,S009,P0030,WH03,2024-01-11,2024-01-19,2024-01-19,318,307,2582.44,821216.68
PO0000264,S004,P0031,WH05,2024-01-11,2024-01-17,2024-01-19,54,49,492.57,26598.78
PO0000265,S009,P0032,WH01,2024-01-11,2024-01-20,2024-01-21,152,145,1641.34,249484.13
PO0000266,S009,P0032,WH05,2024-01-11,2024-01-20,2024-01-25,192,182,1576.24,302638.82
PO0000267,S009,P0035,WH03,2024-01-11,2024-01-20,2024-01-20,141,125,1562.25,220277.0
