Customer_ID,Customer_Name,Customer_Type,Location_ID,Sales_Channel,Customer_Since,Customer_Since_Original,Customer_Since_Corrected_Flag
C00038,Customer 00038,Consumer,LOC04,Online,2020-11-15,2020-11-15,False
C00039,Customer 00039,Consumer,LOC06,Marketplace,2022-01-26,2022-01-26,False
C00040,Customer 00040,Consumer,LOC06,Marketplace,2021-02-25,2021-02-25,False
C00041,Customer 00041,Small Business,LOC01,Online,2024-01-05,2024-01-05,False
C00042,Customer 00042,Consumer,LOC02,Marketplace,2021-12-09,2021-12-09,False
C00043,Customer 00043,Consumer,LOC01,Retail Store,2023-09-02,2023-09-02,False
C00044,Customer 00044,Consumer,LOC02,Marketplace,2020-04-30,2020-04-30,False
C00045,Customer 00045,Enterprise,LOC04,Online,2022-03-26,2022-03-26,False
C00046,Customer 00046,Small Business,LOC02,Retail Store,2024-01-05,2024-06-27,True
C00047,Customer 00047,Consumer,LOC01,Online,2024-01-09,2024-07-26,True
C00048,Customer 00048,Small Business,LOC04,Marketplace,2021-01-10,2021-01-10,False
C00049,Customer 00049,Small Business,LOC01,Retail Store,2021-12-10,2021-12-10,False
C00050,Customer 00050,Consumer,LOC02,Marketplace,2022-01-06,2022-01-06,False
C00051,Customer 00051,Consumer,LOC01,Online,2022-10-14,2022-10-14,False
C00052,Customer 00052,Small Business,LOC01,Online,2022-08-25,2022-08-25,False
C00053,Customer 00053,Consumer,LOC03,Online,2020-07-09,2020-07-09,False
C00054,Customer 00054,Consumer,LOC06,Online,2023-10-04,2023-10-04,False
C00055,Customer 00055,Consumer,LOC05,Online,2021-02-10,2021-02-10,False
C00056,Customer 00056,Consumer,LOC01,Marketplace,2021-07-20,2021-07-20,False
C00057,Customer 00057,Consumer,LOC01,Online,2024-01-03,2024-02-22,True
C00058,Customer 00058,Small Business,LOC03,Marketplace,2023-05-26,2023-05-26,False
C00059,Customer 00059,Consumer,LOC04,Retail Store,2021-12-14,2021-12-14,False
C00060,Customer 00060,Consumer,LOC05,Online,2024-01-01,2024-06-30,True
C00061,Customer 00061,Small Business,LOC05,Marketplace,2021-12-10,2021-12-10,False
C00062,Customer 00062,Consumer,LOC03,Marketplace,2022-10-14,2022-10-14,False
C00063,Customer 00063,Consumer,LOC02,Online,2021-03-18,2021-03-18,False
C00064,Customer 00064,Consumer,LOC01,Online,2020-11-25,2020-11-25,False
C00065,Customer 00065,Small Business,LOC01,Marketplace,2022-06-03,2022-06-03,False
C00066,Customer 00066,Consumer,LOC01,Retail Store,2022-10-10,2022-10-10,False
C00067,Customer 00067,Consumer,LOC06,Marketplace,2023-12-21,2023-12-21,False
C00068,Customer 00068,Small Business,LOC02,Retail Store,2021-12-04,2021-12-04,False
C00069,Customer 00069,Enterprise,LOC05,Retail Store,2024-01-10,2024-05-30,True
C00070,Customer 00070,Consumer,LOC04,Online,2022-12-29,2022-12-29,False
C00071,Customer 00071,Consumer,LOC04,Marketplace,2020-05-06,2020-05-06,False
C00072,Customer 00072,Consumer,LOC03,Online,2023-08-23,2023-08-23,False
C00073,Customer 00073,Consumer,LOC05,Retail Store,2022-10-31,2022-10-31,False
C00074,Customer 00074,Consumer,LOC01,Online,2021-12-01,2021-12-01,False
C00075,Customer 00075,Consumer,LOC01,Online,2022-04-21,2022-04-21,False
C00076,Customer 00076,Consumer,LOC03,Retail Store,2021-06-27,2021-06-27,False
C00077,Customer 00077,Consumer,LOC03,Online,2023-01-10,2023-01-10,False
C00078,Customer 00078,Consumer,LOC04,Marketplace,2022-10-17,2022-10-17,False
C00079,Customer 00079,Consumer,LOC05,Online,2022-03-16,2022-03-16,False
C00080,Customer 00080,Consumer,LOC04,Retail Store,2021-05-28,2021-05-28,False
C00081,Customer 00081,Small Business,LOC02,Retail Store,2021-12-18,2021-12-18,False
C00082,Customer 00082,Consumer,LOC02,Online,2022-06-15,2022-06-15,False
C00083,Customer 00083,Consumer,LOC05,Marketplace,2022-04-29,2022-04-29,False
C00084,Customer 00084,Consumer,LOC02,Online,2021-07-10,2021-07-10,False
C00085,Customer 00085,Consumer,LOC04,Marketplace,2022-11-13,2022-11-13,False
C00086,Customer 00086,Small Business,LOC04,Marketplace,2021-02-11,2021-02-11,False
C00087,Customer 00087,Consumer,LOC05,Retail Store,2022-06-20,2022-06-20,False
C00088,Customer 00088,Consumer,LOC05,Online,2020-08-06,2020-08-06,False
C00089,Customer 00089,Consumer,LOC03,Online,2022-04-29,2022-04-29,False
C00090,Customer 00090,Consumer,LOC02,Marketplace,2023-11-12,2023-11-12,False
C00091,Customer 00091,Enterprise,LOC03,Marketplace,2024-01-08,2024-01-12,True
C00092,Customer 00092,Consumer,LOC03,Online,2023-06-04,2023-06-04,False
C00093,Customer 00093,Small Business,LOC02,Online,2023-09-04,2023-09-04,False
C00094,Customer 00094,Consumer,LOC04,Online,2020-04-28,2020-04-28,False
C00095,Customer 00095,Consumer,LOC02,Retail Store,2021-09-06,2021-09-06,False
C00096,Customer 00096,Consumer,LOC04,Online,2023-03-23,2023-03-23,False
C00097,Customer 00097,Consumer,LOC05,Online,2023-12-12,2023-12-12,False
C00098,Customer 00098,Consumer,LOC06,Retail Store,2022-11-15,2022-11-15,False
C00099,Customer 00099,Consumer,LOC01,Online,2024-01-01,2024-03-16,True
C00100,Customer 00100,Enterprise,LOC05,Marketplace,2021-05-06,2021-05-06,False
C00101,Customer 00101,Consumer,LOC01,Online,2020-10-03,2020-10-03,False
C00102,Customer 00102,Small Business,LOC03,Retail Store,2020-06-04,2020-06-04,False
C00103,Customer 00103,Small Business,LOC02,Marketplace,2022-11-14,2022-11-14,False
C00104,Customer 00104,Consumer,LOC01,Retail Store,2023-04-12,2023-04-12,False
C00105,Customer 00105,Small Business,LOC02,Online,2021-05-28,2021-05-28,False
C00106,Customer 00106,Consumer,LOC01,Online,2023-11-11,2023-11-11,False
C00107,Customer 00107,Consumer,LOC05,Marketplace,2023-08-23,2023-08-23,False
C00108,Customer 00108,Small Business,LOC01,Online,2021-10-10,2021-10-10,False
C00109,Customer 00109,Small Business,LOC03,Online,2021-03-05,2021-03-05,False
C00110,Customer 00110,Consumer,LOC05,Online,2023-08-29,2023-08-29,False
C00111,Customer 00111,Consumer,LOC06,Retail Store,2023-04-23,2023-04-23,False
C00112,Customer 00112,Consumer,LOC06,Marketplace,2020-11-03,2020-11-03,False
C00113,Customer 00113,Small Business,LOC01,Marketplace,2021-04-04,2021-04-04,False
C00114,Customer 00114,Consumer,LOC06,Marketplace,2022-05-24,2022-05-24,False
C00115,Customer 00115,Consumer,LOC04,Online,2022-07-09,2022-07-09,False
C00116,Customer 00116,Consumer,LOC02,Online,2020-10-25,2020-10-25,False
C00117,Customer 00117,Consumer,LOC03,Online,2024-01-06,2024-09-03,True
C00118,Customer 00118,Consumer,LOC06,Marketplace,2021-11-30,2021-11-30,False
C00119,Customer 00119,Small Business,LOC03,Online,2021-11-17,2021-11-17,False
C00120,Customer 00120,Consumer,LOC02,Retail Store,2020-04-18,2020-04-18,False
C00121,Customer 00121,Consumer,LOC06,Retail Store,2024-01-07,2024-04-25,True
C00122,Customer 00122,Consumer,LOC06,Online,2021-02-27,2021-02-27,False
C00123,Customer 00123,Consumer,LOC06,Marketplace,2024-01-03,2024-11-11,True
C00124,Customer 00124,Small Business,LOC06,Online,2022-06-11,2022-06-11,False
C00125,Customer 00125,Consumer,LOC06,Retail Store,2024-01-07,2024-04-23,True
C00126,Customer 00126,Consumer,LOC03,Retail Store,2020-11-18,2020-11-18,False
C00127,Customer 00127,Consumer,LOC02,Retail Store,2020-10-25,2020-10-25,False
C00128,Customer 00128,Consumer,LOC04,Online,2023-12-13,2023-12-13,False
C00129,Customer 00129,Small Business,LOC02,Online,2024-01-01,2024-01-15,True
C00130,Customer 00130,Consumer,LOC03,Online,2022-09-04,2022-09-04,False
C00131,Customer 00131,Consumer,LOC04,Online,2020-02-27,2020-02-27,False
C00132,Customer 00132,Small Business,LOC06,Online,2024-01-30,2024-08-25,True
C00133,Customer 00133,Consumer,LOC02,Online,2021-12-08,2021-12-08,False
C00134,Customer 00134,Consumer,LOC02,Retail Store,2024-01-03,2024-08-11,True
C00135,Customer 00135,Consumer,LOC05,Online,2024-01-01,2024-04-16,True
C00136,Customer 00136,Consumer,LOC01,Online,2024-01-03,2024-03-12,True
C00137,Customer 00137,Consumer,LOC04,Retail Store,2023-05-24,2023-05-24,False
C00138,Customer 00138,Consumer,LOC05,Marketplace,2023-04-26,2023-04-26,False
C00139,Customer 00139,Consumer,LOC04,Marketplace,2022-08-16,2022-08-16,False
C00140,Customer 00140,Consumer,LOC03,Marketplace,2020-02-14,2020-02-14,False
C00141,Customer 00141,Consumer,LOC05,Retail Store,2021-11-29,2021-11-29,False
C00142,Customer 00142,Consumer,LOC03,Marketplace,2023-08-07,2023-08-07,False
C00143,Customer 00143,Consumer,LOC05,Online,2024-01-02,2024-01-02,False
C00144,Customer 00144,Consumer,LOC03,Marketplace,2022-10-04,2022-10-04,False
C00145,Customer 00145,Consumer,LOC01,Online,2023-07-01,2023-07-01,False
C00146,Customer 00146,Small Business,LOC04,Online,2020-02-09,2020-02-09,False
C00147,Customer 00147,Small Business,LOC01,Online,2022-04-23,2022-04-23,False
C00148,Customer 00148,Consumer,LOC06,Online,2022-07-02,2022-07-02,False
C00149,Customer 00149,Consumer,LOC04,Marketplace,2024-01-02,2024-05-25,True
C00150,Customer 00150,Consumer,LOC03,Online,2021-07-13,2021-07-13,False
C00151,Customer 00151,Consumer,LOC03,Online,2021-02-17,2021-02-17,False
C00152,Customer 00152,Consumer,LOC04,Online,2021-09-26,2021-09-26,False
C00153,Customer 00153,Consumer,LOC02,Retail Store,2020-11-02,2020-11-02,False
C00154,Customer 00154,Consumer,LOC02,Online,2022-10-02,2022-10-02,False
C00155,Customer 00155,Consumer,LOC03,Marketplace,2023-03-03,2023-03-03,False
C00156,Customer 00156,Consumer,LOC02,Retail Store,2023-12-13,2023-12-13,False
C00157,Customer 00157,Consumer,LOC05,Online,2024-01-05,2024-10-15,True
C00158,Customer 00158,Small Business,LOC01,Marketplace,2020-05-12,2020-05-12,False
C00159,Customer 00159,Consumer,LOC05,Online,2021-03-21,2021-03-21,False
C00160,Customer 00160,Small Business,LOC03,Online,2021-06-25,2021-06-25,False
C00161,Customer 00161,Consumer,LOC04,Marketplace,2021-03-25,2021-03-25,False
C00162,Customer 00162,Small Business,LOC01,Retail Store,2024-01-03,2024-01-29,True
C00163,Customer 00163,Small Business,LOC03,Online,2020-09-08,2020-09-08,False
C00164,Customer 00164,Enterprise,LOC05,Marketplace,2020-02-23,2020-02-23,False
C00165,Customer 00165,Small Business,LOC02,Online,2024-01-02,2024-03-29,True
C00166,Customer 00166,Small Business,LOC01,Marketplace,2024-01-06,2024-09-26,True
C00167,Customer 00167,Consumer,LOC04,Marketplace,2021-02-11,2021-02-11,False
C00168,Customer 00168,Small Business,LOC01,Marketplace,2021-08-22,2021-08-22,False
C00169,Customer 00169,Consumer,LOC02,Marketplace,2022-06-24,2022-06-24,False
C00170,Customer 00170,Consumer,LOC03,Online,2022-08-04,2022-08-04,False
C00171,Customer 00171,Consumer,LOC04,Marketplace,2024-01-02,2024-11-18,True
C00172,Customer 00172,Small Business,LOC04,Marketplace,2021-12-28,2021-12-28,False
C00173,Customer 00173,Consumer,LOC05,Marketplace,2020-01-22,2020-01-22,False
C00174,Customer 00174,Consumer,LOC06,Online,2022-01-30,2022-01-30,False
C00175,Customer 00175,Consumer,LOC01,Online,2022-09-28,2022-09-28,False
C00176,Customer 00176,Consumer,LOC03,Online,2022-07-19,2022-07-19,False
C00177,Customer 00177,Consumer,LOC01,Online,2022-07-11,2022-07-11,False
C00178,Customer 00178,Consumer,LOC01,Online,2024-01-06,2024-07-18,True
C00179,Customer 00179,Consumer,LOC02,Online,2023-12-24,2023-12-24,False
C00180,Customer 00180,Consumer,LOC04,Marketplace,2021-03-29,2021-03-29,False
C00181,Customer 00181,Consumer,LOC06,Online,2021-10-01,2021-10-01,False
C00182,Customer 00182,Consumer,LOC05,Retail Store,2023-04-16,2023-04-16,False
C00183,Customer 00183,Consumer,LOC04,Online,2022-01-08,2022-01-08,False
C00184,Customer 00184,Consumer,LOC05,Marketplace,2022-02-10,2022-02-10,False
C00185,Customer 00185,Consumer,LOC02,Online,2020-10-29,2020-10-29,False
C00186,Customer 00186,Consumer,LOC06,Online,2021-04-02,2021-04-02,False
C00187,Customer 00187,Small Business,LOC06,Marketplace,2023-08-26,2023-08-26,False
C00188,Customer 00188,Small Business,LOC01,Retail Store,2024-01-06,2024-02-26,True
C00189,Customer 00189,Consumer,LOC03,Online,2023-11-13,2023-11-13,False
C00190,Customer 00190,Consumer,LOC05,Online,2021-07-08,2021-07-08,False
C00191,Customer 00191,Consumer,LOC03,Marketplace,2020-09-02,2020-09-02,False
C00192,Customer 00192,Small Business,LOC06,Marketplace,2020-10-14,2020-10-14,False
C00193,Customer 00193,Consumer,LOC06,Online,2021-12-09,2021-12-09,False
C00194,Customer 00194,Small Business,LOC03,Online,2022-07-20,2022-07-20,False
C00195,Customer 00195,Consumer,LOC01,Online,2024-01-18,2024-05-26,True
C00196,Customer 00196,Consumer,LOC03,Retail Store,2024-01-01,2024-06-05,True
C00197,Customer 00197,Consumer,LOC02,Online,2020-01-05,2020-01-05,False
C00198,Customer 00198,Consumer,LOC03,Online,2023-06-27,2023-06-27,False
C00199,Customer 00199,Consumer,LOC04,Retail Store,2021-06-21,2021-06-21,False
C00200,Customer 00200,Consumer,LOC03,Online,2020-12-22,2020-12-22,False
C00201,Customer 00201,Small Business,LOC02,Online,2022-09-26,2022-09-26,False
C00202,Customer 00202,Consumer,LOC02,Online,2020-03-02,2020-03-02,False
C00203,Customer 00203,Consumer,LOC05,Online,2021-08-24,2021-08-24,False
C00204,Customer 00204,Consumer,LOC01,Online,2022-09-21,2022-09-21,False
C00205,Customer 00205,Consumer,LOC02,Online,2021-05-04,2021-05-04,False
C00206,Customer 00206,Consumer,LOC06,Marketplace,2022-12-04,2022-12-04,False
C00207,Customer 00207,Small Business,LOC01,Marketplace,2022-04-08,2022-04-08,False
C00208,Customer 00208,Consumer,LOC03,Online,2023-12-09,2023-12-09,False
C00209,Customer 00209,Enterprise,LOC02,Marketplace,2020-11-22,2020-11-22,False
C00210,Customer 00210,Small Business,LOC01,Online,2020-04-12,2020-04-12,False
C00211,Customer 00211,Consumer,LOC03,Retail Store,2022-08-11,2022-08-11,False
C00212,Customer 00212,Small Business,LOC04,Online,2021-04-07,2021-04-07,False
C00213,Customer 00213,Small Business,LOC02,Marketplace,2023-06-26,2023-06-26,False
C00214,Customer 00214,Small Business,LOC01,Online,2020-06-16,2020-06-16,False
C00215,Customer 00215,Consumer,LOC01,Marketplace,2022-11-01,2022-11-01,False
C00216,Customer 00216,Consumer,LOC04,Online,2024-01-06,2024-11-16,True
C00217,Customer 00217,Consumer,LOC06,Marketplace,2020-06-16,2020-06-16,False
C00218,Customer 00218,Consumer,LOC02,Online,2021-06-27,2021-06-27,False
C00219,Customer 00219,Consumer,LOC02,Retail Store,2024-01-15,2024-02-28,True
C00220,Customer 00220,Consumer,LOC03,Online,2022-08-18,2022-08-18,False
C00221,Customer 00221,Consumer,LOC03,Marketplace,2020-11-10,2020-11-10,False
C00222,Customer 00222,Consumer,LOC02,Retail Store,2021-01-18,2021-01-18,False
C00223,Customer 00223,Consumer,LOC01,Retail Store,2023-10-08,2023-10-08,False
C00224,Customer 00224,Small Business,LOC04,Online,2024-01-02,2024-03-29,True
C00225,Customer 00225,Small Business,LOC03,Online,2021-10-11,2021-10-11,False
C00226,Customer 00226,Consumer,LOC03,Online,2022-05-02,2022-05-02,False
C00227,Customer 00227,Consumer,LOC02,Online,2023-11-09,2023-11-09,False
C00228,Customer 00228,Small Business,LOC06,Marketplace,2020-11-14,2020-11-14,False
C00229,Customer 00229,Consumer,LOC04,Retail Store,2021-01-06,2021-01-06,False
C00230,Customer 00230,Consumer,LOC03,Retail Store,2023-10-25,2023-10-25,False
C00231,Customer 00231,Consumer,LOC02,Online,2020-12-01,2020-12-01,False
C00232,Customer 00232,Consumer,LOC05,Marketplace,2023-10-19,2023-10-19,False
C00233,Customer 00233,Consumer,LOC06,Retail Store,2022-06-13,2022-06-13,False
C00234,Customer 00234,Small Business,LOC01,Retail Store,2024-01-01,2024-11-17,True
C00235,Customer 00235,Consumer,LOC06,Online,2020-02-29,2020-02-29,False
C00236,Customer 00236,Consumer,LOC05,Online,2024-01-13,2024-08-29,True
C00237,Customer 00237,Small Business,LOC01,Retail Store,2021-02-09,2021-02-09,False
C00238,Customer 00238,Small Business,LOC05,Online,2020-03-04,2020-03-04,False
C00239,Customer 00239,Consumer,LOC01,Online,2023-07-27,2023-07-27,False
C00240,Customer 00240,Consumer,LOC01,Retail Store,2022-08-16,2022-08-16,False
C00241,Customer 00241,Consumer,LOC01,Retail Store,2024-01-02,2024-02-16,True
C00242,Customer 00242,Consumer,LOC03,Retail Store,2020-07-14,2020-07-14,False
C00243,Customer 00243,Consumer,LOC04,Marketplace,2020-05-25,2020-05-25,False
C00244,Customer 00244,Small Business,LOC03,Online,2022-10-18,2022-10-18,False
C00245,Customer 00245,Consumer,LOC01,Online,2024-01-06,2024-05-06,True
C00246,Customer 00246,Consumer,LOC02,Online,2021-12-31,2021-12-31,False
C00247,Customer 00247,Consumer,LOC06,Marketplace,2023-12-06,2023-12-06,False
C00248,Customer 00248,Consumer,LOC06,Online,2024-01-04,2024-06-19,True
C00249,Customer 00249,Small Business,LOC05,Marketplace,2024-01-01,2024-04-14,True
C00250,Customer 00250,Small Business,LOC01,Online,2022-07-04,2022-07-04,False
C00251,Customer 00251,Consumer,LOC05,Marketplace,2023-06-11,2023-06-11,False
C00252,Customer 00252,Consumer,LOC05,Online,2022-08-04,2022-08-04,False
C00253,Customer 00253,Enterprise,LOC04,Online,2023-04-28,2023-04-28,False
C00254,Customer 00254,Consumer,LOC01,Online,2022-10-17,2022-10-17,False
C00255,Customer 00255,Enterprise,LOC06,Online,2022-08-03,2022-08-03,False
C00256,Customer 00256,Consumer,LOC03,Retail Store,2022-02-25,2022-02-25,False
C00257,Customer 00257,Small Business,LOC01,Online,2023-03-21,2023-03-21,False
C00258,Customer 00258,Consumer,LOC02,Online,2023-09-13,2023-09-13,False
C00259,Customer 00259,Consumer,LOC03,Marketplace,2024-01-07,2024-07-12,True
C00260,Customer 00260,Consumer,LOC01,Marketplace,2023-01-08,2023-01-08,False
C00261,Customer 00261,Consumer,LOC02,Online,2020-06-29,2020-06-29,False
C00262,Customer 00262,Consumer,LOC03,Online,2022-11-23,2022-11-23,False
C00263,Customer 00263,Consumer,LOC06,Online,2021-07-22,2021-07-22,False
C00264,Customer 00264,Small Business,LOC01,Marketplace,2020-02-18,2020-02-18,False
C00265,Customer 00265,Consumer,LOC04,Online,2020-05-10,2020-05-10,False
C00266,Customer 00266,Consumer,LOC06,Online,2022-11-30,2022-11-30,False
C00267,Customer 00267,Consumer,LOC05,Online,2024-01-06,2024-08-27,True
C00268,Customer 00268,Consumer,LOC06,Marketplace,2022-06-29,2022-06-29,False
C00269,Customer 00269,Small Business,LOC02,Online,2022-03-12,2022-03-12,False
C00270,Customer 00270,Small Business,LOC05,Retail Store,2020-06-08,2020-06-08,False
C00271,Customer 00271,Consumer,LOC06,Online,2023-04-30,2023-04-30,False
C00272,Customer 00272,Enterprise,LOC02,Marketplace,2020-04-09,2020-04-09,False
C00273,Customer 00273,Small Business,LOC03,Online,2024-01-04,2024-02-23,True
C00274,Customer 00274,Consumer,LOC04,Online,2024-01-01,2024-01-09,True
C00275,Customer 00275,Small Business,LOC03,Online,2024-01-01,2024-11-18,True
C00276,Customer 00276,Consumer,LOC02,Retail Store,2021-05-26,2021-05-26,False
C00277,Customer 00277,Enterprise,LOC06,Retail Store,2020-10-18,2020-10-18,False
C00278,Customer 00278,Consumer,LOC06,Online,2021-06-23,2021-06-23,False
C00279,Customer 00279,Consumer,LOC03,Online,2023-12-10,2023-12-10,False
C00280,Customer 00280,Consumer,LOC05,Retail Store,2021-01-28,2021-01-28,False
C00281,Customer 00281,Small Business,LOC03,Online,2024-01-01,2024-05-16,True
C00282,Customer 00282,Consumer,LOC05,Online,2020-10-04,2020-10-04,False
C00283,Customer 00283,Consumer,LOC04,Online,2020-03-28,2020-03-28,False
C00284,Customer 00284,Consumer,LOC03,Marketplace,2021-01-29,2021-01-29,False
C00285,Customer 00285,Small Business,LOC01,Marketplace,2023-09-19,2023-09-19,False
C00286,Customer 00286,Consumer,LOC04,Marketplace,2022-12-20,2022-12-20,False
C00287,Customer 00287,Small Business,LOC02,Retail Store,2021-09-30,2021-09-30,False
C00288,Customer 00288,Consumer,LOC02,Online,2023-03-26,2023-03-26,False
C00289,Customer 00289,Consumer,LOC02,Online,2023-03-13,2023-03-13,False
C00290,Customer 00290,Consumer,LOC06,Online,2022-09-25,2022-09-25,False
C00291,Customer 00291,Consumer,LOC01,Online,2022-07-14,2022-07-14,False
C00292,Customer 00292,Consumer,LOC05,Online,2020-07-01,2020-07-01,False
C00293,Customer 00293,Small Business,LOC06,Online,2021-04-12,2021-04-12,False
C00294,Customer 00294,Consumer,LOC01,Online,2022-08-07,2022-08-07,False
C00295,Customer 00295,Small Business,LOC04,Marketplace,2020-08-31,2020-08-31,False
C00296,Customer 00296,Consumer,LOC04,Online,2022-05-06,2022-05-06,False
C00297,Customer 00297,Small Business,LOC03,Online,2020-07-29,2020-07-29,False
C00298,Customer 00298,Small Business,LOC05,Marketplace,2023-11-18,2023-11-18,False
C00299,Customer 00299,Small Business,LOC03,Marketplace,2020-07-04,2020-07-04,False
C00300,Customer 00300,Consumer,LOC03,Marketplace,2020-06-15,2020-06-15,False
C00301,Customer 00301,Small Business,LOC03,Retail Store,2023-02-22,2023-02-22,False
C00302,Customer 00302,Consumer,LOC05,Marketplace,2021-01-31,2021-01-31,False
C00303,Customer 00303,Consumer,LOC04,Online,2021-09-24,2021-09-24,False
C00304,Customer 00304,Consumer,LOC03,Online,2021-07-19,2021-07-19,False
C00305,Customer 00305,Consumer,LOC06,Marketplace,2021-01-24,2021-01-24,False
C00306,Customer 00306,Consumer,LOC05,Online,2023-10-03,2023-10-03,False
C00307,Customer 00307,Consumer,LOC06,Online,2023-05-30,2023-05-30,False
C00308,Customer 00308,Small Business,LOC05,Online,2021-03-05,2021-03-05,False
C00309,Customer 00309,Consumer,LOC03,Online,2023-05-21,2023-05-21,False
C00310,Customer 00310,Consumer,LOC05,Online,2023-07-08,2023-07-08,False
C00311,Customer 00311,Consumer,LOC02,Online,2022-08-28,2022-08-28,False
C00312,Customer 00312,Consumer,LOC02,Retail Store,2022-11-07,2022-11-07,False
C00313,Customer 00313,Consumer,LOC03,Retail Store,2024-01-05,2024-08-09,True
C00314,Customer 00314,Enterprise,LOC06,Online,2022-03-27,2022-03-27,False
C00315,Customer 00315,Consumer,LOC04,Retail Store,2021-11-24,2021-11-24,False
C00316,Customer 00316,Consumer,LOC03,Online,2022-08-28,2022-08-28,False
C00317,Customer 00317,Consumer,LOC03,Retail Store,2024-01-03,2024-02-13,True
C00318,Customer 00318,Consumer,LOC02,Retail Store,2023-07-01,2023-07-01,False
C00319,Customer 00319,Small Business,LOC04,Online,2020-05-15,2020-05-15,False
C00320,Customer 00320,Consumer,LOC03,Marketplace,2022-04-06,2022-04-06,False
C00321,Customer 00321,Consumer,LOC04,Retail Store,2023-08-24,2023-08-24,False
C00322,Customer 00322,Consumer,LOC03,Retail Store,2021-02-07,2021-02-07,False
C00323,Customer 00323,Consumer,LOC02,Retail Store,2024-01-03,2024-11-14,True
C00324,Customer 00324,Enterprise,LOC06,Marketplace,2023-12-25,2023-12-25,False
C00325,Customer 00325,Consumer,LOC03,Online,2024-01-03,2024-03-03,True
C00326,Customer 00326,Small Business,LOC01,Retail Store,2020-05-27,2020-05-27,False
C00327,Customer 00327,Consumer,LOC03,Marketplace,2022-11-09,2022-11-09,False
C00328,Customer 00328,Consumer,LOC04,Marketplace,2022-08-08,2022-08-08,False
C00329,Customer 00329,Consumer,LOC01,Online,2023-02-02,2023-02-02,False
C00330,Customer 00330,Small Business,LOC02,Marketplace,2024-01-12,2024-03-10,True
C00331,Customer 00331,Consumer,LOC01,Online,2021-09-27,2021-09-27,False
C00332,Customer 00332,Consumer,LOC04,Marketplace,2022-08-19,2022-08-19,False
C00333,Customer 00333,Consumer,LOC05,Online,2023-05-08,2023-05-08,False
C00334,Customer 00334,Consumer,LOC06,Marketplace,2023-09-17,2023-09-17,False
