Customer_ID,Customer_Name,Customer_Type,Location_ID,Sales_Channel,Customer_Since
C00084,Customer 00084,Consumer,LOC02,Online,2021-07-10
C00085,Customer 00085,Consumer,LOC04,Marketplace,2022-11-13
C00086,Customer 00086,Small Business,LOC04,Marketplace,2021-02-11
C00087,Customer 00087,Consumer,LOC05,Retail Store,2022-06-20
C00088,Customer 00088,Consumer,LOC05,Online,2020-08-06
C00089,Customer 00089,Consumer,LOC03,Online,2022-04-29
C00090,Customer 00090,Consumer,LOC02,Marketplace,2023-11-12
C00091,Customer 00091,Enterprise,LOC03,Marketplace,2024-01-12
C00092,Customer 00092,Consumer,LOC03,Online,2023-06-04
C00093,Customer 00093,Small Business,LOC02,Online,2023-09-04
C00094,Customer 00094,Consumer,LOC04,Online,2020-04-28
C00095,Customer 00095,Consumer,LOC02,Retail Store,2021-09-06
C00096,Customer 00096,Consumer,LOC04,Online,2023-03-23
C00097,Customer 00097,Consumer,LOC05,Online,2023-12-12
C00098,Customer 00098,Consumer,LOC06,Retail Store,2022-11-15
C00099,Customer 00099,Consumer,LOC01,Online,2024-03-16
C00100,Customer 00100,Enterprise,LOC05,Marketplace,2021-05-06
C00101,Customer 00101,Consumer,LOC01,Online,2020-10-03
C00102,Customer 00102,Small Business,LOC03,Retail Store,2020-06-04
C00103,Customer 00103,Small Business,LOC02,Marketplace,2022-11-14
C00104,Customer 00104,Consumer,LOC01,Retail Store,2023-04-12
C00105,Customer 00105,Small Business,LOC02,Online,2021-05-28
C00106,Customer 00106,Consumer,LOC01,Online,2023-11-11
C00107,Customer 00107,Consumer,LOC05,Marketplace,2023-08-23
C00108,Customer 00108,Small Business,LOC01,Online,2021-10-10
C00109,Customer 00109,Small Business,LOC03,Online,2021-03-05
C00110,Customer 00110,Consumer,LOC05,Online,2023-08-29
C00111,Customer 00111,Consumer,LOC06,Retail Store,2023-04-23
C00112,Customer 00112,Consumer,LOC06,Marketplace,2020-11-03
C00113,Customer 00113,Small Business,LOC01,Marketplace,2021-04-04
C00114,Customer 00114,Consumer,LOC06,Marketplace,2022-05-24
C00115,Customer 00115,Consumer,LOC04,Online,2022-07-09
C00116,Customer 00116,Consumer,LOC02,Online,2020-10-25
C00117,Customer 00117,Consumer,LOC03,Online,2024-09-03
C00118,Customer 00118,Consumer,LOC06,Marketplace,2021-11-30
C00119,Customer 00119,Small Business,LOC03,Online,2021-11-17
C00120,Customer 00120,Consumer,LOC02,Retail Store,2020-04-18
C00121,Customer 00121,Consumer,LOC06,Retail Store,2024-04-25
C00122,Customer 00122,Consumer,LOC06,Online,2021-02-27
C00123,Customer 00123,Consumer,LOC06,Marketplace,2024-11-11
C00124,Customer 00124,Small Business,LOC06,Online,2022-06-11
C00125,Customer 00125,Consumer,LOC06,Retail Store,2024-04-23
C00126,Customer 00126,Consumer,LOC03,Retail Store,2020-11-18
C00127,Customer 00127,Consumer,LOC02,Retail Store,2020-10-25
C00128,Customer 00128,Consumer,LOC04,Online,2023-12-13
C00129,Customer 00129,Small Business,LOC02,Online,2024-01-15
C00130,Customer 00130,Consumer,LOC03,Online,2022-09-04
C00131,Customer 00131,Consumer,LOC04,Online,2020-02-27
C00132,Customer 00132,Small Business,LOC06,Online,2024-08-25
C00133,Customer 00133,Consumer,LOC02,Online,2021-12-08
C00134,Customer 00134,Consumer,LOC02,Retail Store,2024-08-11
C00135,Customer 00135,Consumer,LOC05,Online,2024-04-16
C00136,Customer 00136,Consumer,LOC01,Online,2024-03-12
C00137,Customer 00137,Consumer,LOC04,Retail Store,2023-05-24
C00138,Customer 00138,Consumer,LOC05,Marketplace,2023-04-26
C00139,Customer 00139,Consumer,LOC04,Marketplace,2022-08-16
C00140,Customer 00140,Consumer,LOC03,Marketplace,2020-02-14
C00141,Customer 00141,Consumer,LOC05,Retail Store,2021-11-29
C00142,Customer 00142,Consumer,LOC03,Marketplace,2023-08-07
C00143,Customer 00143,Consumer,LOC05,Online,2024-01-02
C00144,Customer 00144,Consumer,LOC03,Marketplace,2022-10-04
C00145,Customer 00145,Consumer,LOC01,Online,2023-07-01
C00146,Customer 00146,Small Business,LOC04,Online,2020-02-09
C00147,Customer 00147,Small Business,LOC01,Online,2022-04-23
C00148,Customer 00148,Consumer,LOC06,Online,2022-07-02
C00149,Customer 00149,Consumer,LOC04,Marketplace,2024-05-25
C00150,Customer 00150,Consumer,LOC03,Online,2021-07-13
C00151,Customer 00151,Consumer,LOC03,Online,2021-02-17
C00152,Customer 00152,Consumer,LOC04,Online,2021-09-26
C00153,Customer 00153,Consumer,LOC02,Retail Store,2020-11-02
C00154,Customer 00154,Consumer,LOC02,Online,2022-10-02
C00155,Customer 00155,Consumer,LOC03,Marketplace,2023-03-03
C00156,Customer 00156,Consumer,LOC02,Retail Store,2023-12-13
C00157,Customer 00157,Consumer,LOC05,Online,2024-10-15
C00158,Customer 00158,Small Business,LOC01,Marketplace,2020-05-12
C00159,Customer 00159,Consumer,LOC05,Online,2021-03-21
C00160,Customer 00160,Small Business,LOC03,Online,2021-06-25
C00161,Customer 00161,Consumer,LOC04,Marketplace,2021-03-25
C00162,Customer 00162,Small Business,LOC01,Retail Store,2024-01-29
C00163,Customer 00163,Small Business,LOC03,Online,2020-09-08
C00164,Customer 00164,Enterprise,LOC05,Marketplace,2020-02-23
C00165,Customer 00165,Small Business,LOC02,Online,2024-03-29
C00166,Customer 00166,Small Business,LOC01,Marketplace,2024-09-26
C00167,Customer 00167,Consumer,LOC04,Marketplace,2021-02-11
C00168,Customer 00168,Small Business,LOC01,Marketplace,2021-08-22
C00169,Customer 00169,Consumer,LOC02,Marketplace,2022-06-24
C00170,Customer 00170,Consumer,LOC03,Online,2022-08-04
C00171,Customer 00171,Consumer,LOC04,Marketplace,2024-11-18
C00172,Customer 00172,Small Business,LOC04,Marketplace,2021-12-28
C00173,Customer 00173,Consumer,LOC05,Marketplace,2020-01-22
C00174,Customer 00174,Consumer,LOC06,Online,2022-01-30
C00175,Customer 00175,Consumer,LOC01,Online,2022-09-28
C00176,Customer 00176,Consumer,LOC03,Online,2022-07-19
C00177,Customer 00177,Consumer,LOC01,Online,2022-07-11
C00178,Customer 00178,Consumer,LOC01,Online,2024-07-18
C00179,Customer 00179,Consumer,LOC02,Online,2023-12-24
C00180,Customer 00180,Consumer,LOC04,Marketplace,2021-03-29
C00181,Customer 00181,Consumer,LOC06,Online,2021-10-01
C00182,Customer 00182,Consumer,LOC05,Retail Store,2023-04-16
C00183,Customer 00183,Consumer,LOC04,Online,2022-01-08
C00184,Customer 00184,Consumer,LOC05,Marketplace,2022-02-10
C00185,Customer 00185,Consumer,LOC02,Online,2020-10-29
C00186,Customer 00186,Consumer,LOC06,Online,2021-04-02
C00187,Customer 00187,Small Business,LOC06,Marketplace,2023-08-26
C00188,Customer 00188,Small Business,LOC01,Retail Store,2024-02-26
C00189,Customer 00189,Consumer,LOC03,Online,2023-11-13
C00190,Customer 00190,Consumer,LOC05,Online,2021-07-08
C00191,Customer 00191,Consumer,LOC03,Marketplace,2020-09-02
C00192,Customer 00192,Small Business,LOC06,Marketplace,2020-10-14
C00193,Customer 00193,Consumer,LOC06,Online,2021-12-09
C00194,Customer 00194,Small Business,LOC03,Online,2022-07-20
C00195,Customer 00195,Consumer,LOC01,Online,2024-05-26
C00196,Customer 00196,Consumer,LOC03,Retail Store,2024-06-05
C00197,Customer 00197,Consumer,LOC02,Online,2020-01-05
C00198,Customer 00198,Consumer,LOC03,Online,2023-06-27
C00199,Customer 00199,Consumer,LOC04,Retail Store,2021-06-21
C00200,Customer 00200,Consumer,LOC03,Online,2020-12-22
C00201,Customer 00201,Small Business,LOC02,Online,2022-09-26
C00202,Customer 00202,Consumer,LOC02,Online,2020-03-02
C00203,Customer 00203,Consumer,LOC05,Online,2021-08-24
C00204,Customer 00204,Consumer,LOC01,Online,2022-09-21
C00205,Customer 00205,Consumer,LOC02,Online,2021-05-04
C00206,Customer 00206,Consumer,LOC06,Marketplace,2022-12-04
C00207,Customer 00207,Small Business,LOC01,Marketplace,2022-04-08
C00208,Customer 00208,Consumer,LOC03,Online,2023-12-09
C00209,Customer 00209,Enterprise,LOC02,Marketplace,2020-11-22
C00210,Customer 00210,Small Business,LOC01,Online,2020-04-12
C00211,Customer 00211,Consumer,LOC03,Retail Store,2022-08-11
C00212,Customer 00212,Small Business,LOC04,Online,2021-04-07
C00213,Customer 00213,Small Business,LOC02,Marketplace,2023-06-26
C00214,Customer 00214,Small Business,LOC01,Online,2020-06-16
C00215,Customer 00215,Consumer,LOC01,Marketplace,2022-11-01
C00216,Customer 00216,Consumer,LOC04,Online,2024-11-16
C00217,Customer 00217,Consumer,LOC06,Marketplace,2020-06-16
C00218,Customer 00218,Consumer,LOC02,Online,2021-06-27
C00219,Customer 00219,Consumer,LOC02,Retail Store,2024-02-28
C00220,Customer 00220,Consumer,LOC03,Online,2022-08-18
C00221,Customer 00221,Consumer,LOC03,Marketplace,2020-11-10
C00222,Customer 00222,Consumer,LOC02,Retail Store,2021-01-18
C00223,Customer 00223,Consumer,LOC01,Retail Store,2023-10-08
C00224,Customer 00224,Small Business,LOC04,Online,2024-03-29
C00225,Customer 00225,Small Business,LOC03,Online,2021-10-11
C00226,Customer 00226,Consumer,LOC03,Online,2022-05-02
C00227,Customer 00227,Consumer,LOC02,Online,2023-11-09
C00228,Customer 00228,Small Business,LOC06,Marketplace,2020-11-14
C00229,Customer 00229,Consumer,LOC04,Retail Store,2021-01-06
C00230,Customer 00230,Consumer,LOC03,Retail Store,2023-10-25
C00231,Customer 00231,Consumer,LOC02,Online,2020-12-01
C00232,Customer 00232,Consumer,LOC05,Marketplace,2023-10-19
C00233,Customer 00233,Consumer,LOC06,Retail Store,2022-06-13
C00234,Customer 00234,Small Business,LOC01,Retail Store,2024-11-17
C00235,Customer 00235,Consumer,LOC06,Online,2020-02-29
C00236,Customer 00236,Consumer,LOC05,Online,2024-08-29
C00237,Customer 00237,Small Business,LOC01,Retail Store,2021-02-09
C00238,Customer 00238,Small Business,LOC05,Online,2020-03-04
C00239,Customer 00239,Consumer,LOC01,Online,2023-07-27
C00240,Customer 00240,Consumer,LOC01,Retail Store,2022-08-16
C00241,Customer 00241,Consumer,LOC01,Retail Store,2024-02-16
C00242,Customer 00242,Consumer,LOC03,Retail Store,2020-07-14
C00243,Customer 00243,Consumer,LOC04,Marketplace,2020-05-25
C00244,Customer 00244,Small Business,LOC03,Online,2022-10-18
C00245,Customer 00245,Consumer,LOC01,Online,2024-05-06
C00246,Customer 00246,Consumer,LOC02,Online,2021-12-31
C00247,Customer 00247,Consumer,LOC06,Marketplace,2023-12-06
C00248,Customer 00248,Consumer,LOC06,Online,2024-06-19
C00249,Customer 00249,Small Business,LOC05,Marketplace,2024-04-14
C00250,Customer 00250,Small Business,LOC01,Online,2022-07-04
C00251,Customer 00251,Consumer,LOC05,Marketplace,2023-06-11
C00252,Customer 00252,Consumer,LOC05,Online,2022-08-04
C00253,Customer 00253,Enterprise,LOC04,Online,2023-04-28
C00254,Customer 00254,Consumer,LOC01,Online,2022-10-17
C00255,Customer 00255,Enterprise,LOC06,Online,2022-08-03
C00256,Customer 00256,Consumer,LOC03,Retail Store,2022-02-25
C00257,Customer 00257,Small Business,LOC01,Online,2023-03-21
C00258,Customer 00258,Consumer,LOC02,Online,2023-09-13
C00259,Customer 00259,Consumer,LOC03,Marketplace,2024-07-12
C00260,Customer 00260,Consumer,LOC01,Marketplace,2023-01-08
C00261,Customer 00261,Consumer,LOC02,Online,2020-06-29
C00262,Customer 00262,Consumer,LOC03,Online,2022-11-23
C00263,Customer 00263,Consumer,LOC06,Online,2021-07-22
C00264,Customer 00264,Small Business,LOC01,Marketplace,2020-02-18
C00265,Customer 00265,Consumer,LOC04,Online,2020-05-10
C00266,Customer 00266,Consumer,LOC06,Online,2022-11-30
C00267,Customer 00267,Consumer,LOC05,Online,2024-08-27
C00268,Customer 00268,Consumer,LOC06,Marketplace,2022-06-29
C00269,Customer 00269,Small Business,LOC02,Online,2022-03-12
C00270,Customer 00270,Small Business,LOC05,Retail Store,2020-06-08
C00271,Customer 00271,Consumer,LOC06,Online,2023-04-30
C00272,Customer 00272,Enterprise,LOC02,Marketplace,2020-04-09
C00273,Customer 00273,Small Business,LOC03,Online,2024-02-23
C00274,Customer 00274,Consumer,LOC04,Online,2024-01-09
C00275,Customer 00275,Small Business,LOC03,Online,2024-11-18
C00276,Customer 00276,Consumer,LOC02,Retail Store,2021-05-26
C00277,Customer 00277,Enterprise,LOC06,Retail Store,2020-10-18
C00278,Customer 00278,Consumer,LOC06,Online,2021-06-23
C00279,Customer 00279,Consumer,LOC03,Online,2023-12-10
C00280,Customer 00280,Consumer,LOC05,Retail Store,2021-01-28
C00281,Customer 00281,Small Business,LOC03,Online,2024-05-16
C00282,Customer 00282,Consumer,LOC05,Online,2020-10-04
C00283,Customer 00283,Consumer,LOC04,Online,2020-03-28
C00284,Customer 00284,Consumer,LOC03,Marketplace,2021-01-29
C00285,Customer 00285,Small Business,LOC01,Marketplace,2023-09-19
C00286,Customer 00286,Consumer,LOC04,Marketplace,2022-12-20
C00287,Customer 00287,Small Business,LOC02,Retail Store,2021-09-30
C00288,Customer 00288,Consumer,LOC02,Online,2023-03-26
C00289,Customer 00289,Consumer,LOC02,Online,2023-03-13
C00290,Customer 00290,Consumer,LOC06,Online,2022-09-25
C00291,Customer 00291,Consumer,LOC01,Online,2022-07-14
C00292,Customer 00292,Consumer,LOC05,Online,2020-07-01
C00293,Customer 00293,Small Business,LOC06,Online,2021-04-12
C00294,Customer 00294,Consumer,LOC01,Online,2022-08-07
C00295,Customer 00295,Small Business,LOC04,Marketplace,2020-08-31
C00296,Customer 00296,Consumer,LOC04,Online,2022-05-06
C00297,Customer 00297,Small Business,LOC03,Online,2020-07-29
C00298,Customer 00298,Small Business,LOC05,Marketplace,2023-11-18
C00299,Customer 00299,Small Business,LOC03,Marketplace,2020-07-04
C00300,Customer 00300,Consumer,LOC03,Marketplace,2020-06-15
C00301,Customer 00301,Small Business,LOC03,Retail Store,2023-02-22
C00302,Customer 00302,Consumer,LOC05,Marketplace,2021-01-31
C00303,Customer 00303,Consumer,LOC04,Online,2021-09-24
C00304,Customer 00304,Consumer,LOC03,Online,2021-07-19
C00305,Customer 00305,Consumer,LOC06,Marketplace,2021-01-24
C00306,Customer 00306,Consumer,LOC05,Online,2023-10-03
C00307,Customer 00307,Consumer,LOC06,Online,2023-05-30
C00308,Customer 00308,Small Business,LOC05,Online,2021-03-05
C00309,Customer 00309,Consumer,LOC03,Online,2023-05-21
C00310,Customer 00310,Consumer,LOC05,Online,2023-07-08
C00311,Customer 00311,Consumer,LOC02,Online,2022-08-28
C00312,Customer 00312,Consumer,LOC02,Retail Store,2022-11-07
C00313,Customer 00313,Consumer,LOC03,Retail Store,2024-08-09
C00314,Customer 00314,Enterprise,LOC06,Online,2022-03-27
C00315,Customer 00315,Consumer,LOC04,Retail Store,2021-11-24
C00316,Customer 00316,Consumer,LOC03,Online,2022-08-28
C00317,Customer 00317,Consumer,LOC03,Retail Store,2024-02-13
C00318,Customer 00318,Consumer,LOC02,Retail Store,2023-07-01
C00319,Customer 00319,Small Business,LOC04,Online,2020-05-15
C00320,Customer 00320,Consumer,LOC03,Marketplace,2022-04-06
C00321,Customer 00321,Consumer,LOC04,Retail Store,2023-08-24
C00322,Customer 00322,Consumer,LOC03,Retail Store,2021-02-07
C00323,Customer 00323,Consumer,LOC02,Retail Store,2024-11-14
C00324,Customer 00324,Enterprise,LOC06,Marketplace,2023-12-25
C00325,Customer 00325,Consumer,LOC03,Online,2024-03-03
C00326,Customer 00326,Small Business,LOC01,Retail Store,2020-05-27
C00327,Customer 00327,Consumer,LOC03,Marketplace,2022-11-09
C00328,Customer 00328,Consumer,LOC04,Marketplace,2022-08-08
C00329,Customer 00329,Consumer,LOC01,Online,2023-02-02
C00330,Customer 00330,Small Business,LOC02,Marketplace,2024-03-10
C00331,Customer 00331,Consumer,LOC01,Online,2021-09-27
C00332,Customer 00332,Consumer,LOC04,Marketplace,2022-08-19
C00333,Customer 00333,Consumer,LOC05,Online,2023-05-08
C00334,Customer 00334,Consumer,LOC06,Marketplace,2023-09-17
C00335,Customer 00335,Small Business,LOC03,Retail Store,2023-10-18
C00336,Customer 00336,Consumer,LOC06,Online,2021-08-29
C00337,Customer 00337,Consumer,LOC02,Online,2024-12-01
C00338,Customer 00338,Consumer,LOC05,Online,2020-01-18
C00339,Customer 00339,Consumer,LOC04,Retail Store,2022-06-05
C00340,Customer 00340,Consumer,LOC05,Marketplace,2022-12-31
C00341,Customer 00341,Consumer,LOC05,Online,2020-04-20
C00342,Customer 00342,Consumer,LOC04,Online,2022-03-23
C00343,Customer 00343,Consumer,LOC02,Online,2022-12-08
C00344,Customer 00344,Consumer,LOC04,Online,2022-12-29
C00345,Customer 00345,Consumer,LOC05,Retail Store,2020-08-02
C00346,Customer 00346,Consumer,LOC06,Marketplace,2021-05-14
C00347,Customer 00347,Consumer,LOC06,Online,2021-03-16
C00348,Customer 00348,Consumer,LOC02,Retail Store,2023-02-25
C00349,Customer 00349,Consumer,LOC04,Online,2021-08-14
C00350,Customer 00350,Consumer,LOC01,Retail Store,2022-10-25
C00351,Customer 00351,Consumer,LOC05,Online,2023-08-08
C00352,Customer 00352,Consumer,LOC06,Marketplace,2023-12-06
C00353,Customer 00353,Consumer,LOC01,Retail Store,2020-11-26
C00354,Customer 00354,Consumer,LOC04,Online,2024-06-14
C00355,Customer 00355,Consumer,LOC06,Marketplace,2020-10-25
C00356,Customer 00356,Consumer,LOC06,Retail Store,2020-02-09
C00357,Customer 00357,Consumer,LOC03,Online,2020-03-21
C00358,Customer 00358,Consumer,LOC01,Online,2020-12-27
C00359,Customer 00359,Consumer,LOC06,Marketplace,2024-04-20
C00360,Customer 00360,Consumer,LOC06,Online,2021-01-09
C00361,Customer 00361,Consumer,LOC04,Online,2023-06-02
C00362,Customer 00362,Small Business,LOC06,Online,2022-01-23
C00363,Customer 00363,Consumer,LOC01,Marketplace,2020-03-12
C00364,Customer 00364,Consumer,LOC04,Online,2022-03-10
C00365,Customer 00365,Consumer,LOC01,Online,2020-02-20
C00366,Customer 00366,Consumer,LOC06,Retail Store,2022-05-07
C00367,Customer 00367,Consumer,LOC05,Online,2022-10-02
C00368,Customer 00368,Consumer,LOC06,Retail Store,2022-07-27
C00369,Customer 00369,Small Business,LOC04,Online,2021-05-23
C00370,Customer 00370,Small Business,LOC01,Retail Store,2023-10-11
C00371,Customer 00371,Consumer,LOC01,Marketplace,2022-12-10
C00372,Customer 00372,Consumer,LOC03,Online,2021-04-03
C00373,Customer 00373,Small Business,LOC05,Retail Store,2022-02-21
C00374,Customer 00374,Consumer,LOC01,Online,2020-07-14
C00375,Customer 00375,Small Business,LOC06,Online,2024-07-19
C00376,Customer 00376,Consumer,LOC02,Online,2023-09-17
C00377,Customer 00377,Consumer,LOC03,Marketplace,2021-06-02
C00378,Customer 00378,Consumer,LOC02,Online,2023-04-29
C00379,Customer 00379,Small Business,LOC03,Online,2023-05-07
C00380,Customer 00380,Consumer,LOC03,Online,2023-01-02
C00381,Customer 00381,Consumer,LOC01,Online,2020-04-07
C00382,Customer 00382,Consumer,LOC04,Online,2024-04-30
C00383,Customer 00383,Consumer,LOC05,Online,2024-09-16
C00384,Customer 00384,Consumer,LOC06,Online,2024-10-19
C00385,Customer 00385,Consumer,LOC02,Online,2024-10-31
C00386,Customer 00386,Consumer,LOC06,Marketplace,2024-07-29
C00387,Customer 00387,Small Business,LOC06,Online,2023-08-23
C00388,Customer 00388,Small Business,LOC06,Marketplace,2020-04-12
C00389,Customer 00389,Consumer,LOC03,Online,2022-04-17
C00390,Customer 00390,Consumer,LOC06,Online,2021-03-17
C00391,Customer 00391,Consumer,LOC04,Online,2021-01-30
C00392,Customer 00392,Consumer,LOC01,Online,2024-02-04
C00393,Customer 00393,Consumer,LOC02,Online,2024-01-02
C00394,Customer 00394,Enterprise,LOC05,Retail Store,2022-07-28
C00395,Customer 00395,Enterprise,LOC01,Online,2023-08-18
C00396,Customer 00396,Small Business,LOC03,Online,2020-08-20
C00397,Customer 00397,Consumer,LOC05,Marketplace,2021-02-03
C00398,Customer 00398,Consumer,LOC01,Online,2024-03-28
C00399,Customer 00399,Consumer,LOC03,Online,2022-03-23
C00400,Customer 00400,Consumer,LOC02,Online,2022-09-10
C00401,Customer 00401,Consumer,LOC04,Online,2022-04-13
C00402,Customer 00402,Consumer,LOC02,Online,2020-12-29
C00403,Customer 00403,Consumer,LOC06,Marketplace,2024-01-27
C00404,Customer 00404,Consumer,LOC01,Retail Store,2023-09-26
C00405,Customer 00405,Consumer,LOC06,Online,2023-05-15
C00406,Customer 00406,Consumer,LOC05,Marketplace,2021-09-27
C00407,Customer 00407,Small Business,LOC06,Marketplace,2023-03-03
C00408,Customer 00408,Enterprise,LOC06,Online,2024-09-11
C00409,Customer 00409,Consumer,LOC02,Marketplace,2023-03-15
C00410,Customer 00410,Small Business,LOC06,Marketplace,2022-06-08
C00411,Customer 00411,Enterprise,LOC04,Retail Store,2021-05-01
C00412,Customer 00412,Consumer,LOC06,Retail Store,2022-07-30
C00413,Customer 00413,Consumer,LOC06,Online,2021-10-31
C00414,Customer 00414,Consumer,LOC04,Online,2023-01-05
C00415,Customer 00415,Consumer,LOC03,Online,2020-03-23
C00416,Customer 00416,Small Business,LOC01,Online,2020-12-08
C00417,Customer 00417,Consumer,LOC01,Online,2023-11-17
C00418,Customer 00418,Consumer,LOC03,Retail Store,2021-11-16
C00419,Customer 00419,Consumer,LOC05,Online,2022-02-18
C00420,Customer 00420,Consumer,LOC04,Online,2022-09-06
C00421,Customer 00421,Small Business,LOC03,Retail Store,2022-02-27
C00422,Customer 00422,Consumer,LOC02,Online,2023-09-27
C00423,Customer 00423,Consumer,LOC04,Online,2021-03-17
C00424,Customer 00424,Consumer,LOC04,Retail Store,2023-09-27
C00425,Customer 00425,Consumer,LOC06,Online,2021-01-11
C00426,Customer 00426,Consumer,LOC05,Online,2021-10-29
C00427,Customer 00427,Consumer,LOC04,Online,2022-11-24
C00428,Customer 00428,Consumer,LOC06,Retail Store,2024-05-13
C00429,Customer 00429,Consumer,LOC03,Online,2021-02-22
