Return_ID,Order_ID,Product_ID,Customer_ID,Warehouse_ID,Return_Date,Returned_Qty,Return_Reason,Refund_Value
RET0000096,ORD00001990,P0009,C00564,WH01,2024-01-22,2,Customer Changed Mind,6414.96
RET0000097,ORD00001995,P0010,C00483,WH01,2024-01-23,2,Damaged,7135.6
RET0000098,ORD00002001,P0011,C00321,WH02,2024-01-25,1,Quality Issue,671.95
RET0000099,ORD00002033,P0017,C00702,WH04,2024-01-14,1,Quality Issue,1003.35
RET0000100,ORD00002040,P0019,C00431,WH01,2024-01-21,2,Late Delivery,4964.83
RET0000101,ORD00002050,P0021,C00159,WH01,2024-01-29,2,Wrong Product,1513.64
RET0000102,ORD00002101,P0031,C00716,WH02,2024-01-19,1,Customer Changed Mind,627.46
RET0000103,ORD00002108,P0032,C00276,WH04,2024-01-19,2,Quality Issue,3708.22
RET0000104,ORD00002125,P0036,C00563,WH01,2024-01-18,1,Late Delivery,2392.33
RET0000105,ORD00002147,P0040,C00010,WH03,2024-01-19,2,Customer Changed Mind,1962.41
RET0000106,ORD00002170,P0005,C00653,WH01,2024-01-29,2,Customer Changed Mind,2971.39
RET0000107,ORD00002185,P0008,C00535,WH01,2024-01-31,2,Damaged,1879.24
RET0000108,ORD00002191,P0009,C00223,WH02,2024-01-19,1,Quality Issue,3207.48
RET0000109,ORD00002218,P0014,C00640,WH04,2024-01-18,1,Quality Issue,2634.32
RET0000110,ORD00002257,P0022,C00248,WH03,2024-01-16,1,Wrong Product,611.26
RET0000111,ORD00002287,P0028,C00166,WH03,2024-02-01,2,Damaged,8609.9
RET0000112,ORD00002289,P0028,C00861,WH05,2024-01-25,1,Quality Issue,4089.7
RET0000113,ORD00002291,P0029,C00872,WH02,2024-01-30,2,Quality Issue,9286.0
RET0000114,ORD00002299,P0030,C00138,WH05,2024-01-15,2,Damaged,6243.48
RET0000115,ORD00002325,P0036,C00455,WH01,2024-01-26,2,Quality Issue,5629.02
RET0000116,ORD00002342,P0039,C00636,WH03,2024-01-19,1,Wrong Product,655.76
RET0000117,ORD00002350,P0001,C00324,WH01,2024-01-23,2,Customer Changed Mind,3596.38
RET0000118,ORD00002357,P0002,C00828,WH03,2024-01-30,1,Customer Changed Mind,950.45
RET0000119,ORD00002397,P0010,C00482,WH03,2024-01-23,2,Damaged,6422.04
RET0000120,ORD00002442,P0019,C00876,WH03,2024-01-17,2,Customer Changed Mind,5516.48
RET0000121,ORD00002483,P0027,C00602,WH05,2024-01-29,2,Damaged,1461.8
RET0000122,ORD00002485,P0028,C00453,WH02,2024-01-22,2,Customer Changed Mind,8179.4
RET0000123,ORD00002489,P0029,C00243,WH01,2024-02-01,2,Quality Issue,9286.0
RET0000124,ORD00002508,P0033,C00531,WH01,2024-01-28,2,Damaged,4344.09
RET0000125,ORD00002545,P0040,C00283,WH03,2024-01-19,1,Quality Issue,910.4
RET0000126,ORD00002549,P0001,C00762,WH02,2024-01-29,1,Damaged,1798.19
RET0000127,ORD00002550,P0001,C00480,WH03,2024-02-02,1,Quality Issue,1618.37
RET0000128,ORD00002596,P0011,C00563,WH01,2024-01-24,2,Quality Issue,1493.22
RET0000129,ORD00002609,P0013,C00918,WH04,2024-01-31,2,Quality Issue,7011.7
RET0000130,ORD00002612,P0014,C00675,WH02,2024-01-30,1,Damaged,2502.6
RET0000131,ORD00002634,P0018,C00347,WH04,2024-02-01,2,Quality Issue,2732.62
RET0000132,ORD00002637,P0019,C00831,WH02,2024-01-17,1,Late Delivery,2620.33
RET0000133,ORD00002667,P0025,C00359,WH02,2024-01-25,2,Damaged,3215.52
RET0000134,ORD00002677,P0027,C00927,WH02,2024-01-24,2,Damaged,1384.87
RET0000135,ORD00002687,P0029,C00882,WH02,2024-01-24,1,Damaged,4410.85
RET0000136,ORD00002699,P0031,C00880,WH04,2024-01-20,2,Quality Issue,1320.96
RET0000137,ORD00002706,P0033,C00408,WH01,2024-01-25,2,Late Delivery,4855.16
RET0000138,ORD00002709,P0033,C00949,WH04,2024-01-29,2,Damaged,4855.16
RET0000139,ORD00002721,P0036,C00412,WH03,2024-01-20,1,Customer Changed Mind,2814.51
RET0000140,ORD00002754,P0003,C00639,WH02,2024-01-20,2,Quality Issue,2440.58
RET0000141,ORD00002770,P0006,C00324,WH03,2024-01-19,2,Damaged,7245.78
RET0000142,ORD00002787,P0009,C00542,WH05,2024-01-28,1,Damaged,2886.73
RET0000143,ORD00002793,P0011,C00149,WH01,2024-01-27,2,Late Delivery,1343.9
RET0000144,ORD00002823,P0017,C00670,WH03,2024-02-02,1,Damaged,1081.39
RET0000145,ORD00002856,P0024,C00538,WH02,2024-01-22,1,Damaged,889.43
RET0000146,ORD00002861,P0025,C00651,WH03,2024-01-20,1,Quality Issue,1732.81
RET0000147,ORD00002867,P0026,C00131,WH04,2024-01-20,2,Quality Issue,5729.76
RET0000148,ORD00002881,P0029,C00937,WH03,2024-01-29,1,Damaged,4643.0
RET0000149,ORD00002903,P0033,C00203,WH05,2024-02-03,1,Damaged,2427.58
RET0000150,ORD00002929,P0039,C00437,WH01,2024-01-24,1,Quality Issue,622.97
RET0000151,ORD00002981,P0009,C00996,WH03,2024-01-29,1,Wrong Product,3207.48
RET0000152,ORD00002991,P0011,C00028,WH03,2024-01-23,2,Wrong Product,1493.22
RET0000153,ORD00003008,P0014,C00904,WH05,2024-01-21,2,Quality Issue,5268.64
RET0000154,ORD00003020,P0017,C00207,WH02,2024-02-03,1,Damaged,1059.09
RET0000155,ORD00003069,P0027,C00063,WH01,2024-01-19,2,Quality Issue,1384.87
RET0000156,ORD00003075,P0028,C00451,WH02,2024-01-22,2,Customer Changed Mind,7318.41
RET0000157,ORD00003093,P0031,C00246,WH05,2024-01-27,1,Quality Issue,640.67
RET0000158,ORD00003106,P0034,C00274,WH03,2024-01-25,1,Customer Changed Mind,4112.91
RET0000159,ORD00003109,P0035,C00700,WH01,2024-01-20,2,Customer Changed Mind,4251.14
RET0000160,ORD00003158,P0004,C00646,WH05,2024-01-20,1,Customer Changed Mind,2227.7
RET0000161,ORD00003165,P0006,C00534,WH03,2024-01-28,1,Quality Issue,3622.89
RET0000162,ORD00003177,P0008,C00760,WH05,2024-01-24,2,Wrong Product,1937.36
RET0000163,ORD00003228,P0019,C00093,WH04,2024-02-01,2,Quality Issue,5516.48
RET0000164,ORD00003255,P0025,C00990,WH02,2024-01-21,1,Quality Issue,1786.4
RET0000165,ORD00003258,P0025,C00601,WH05,2024-01-21,2,Damaged,3572.8
RET0000166,ORD00003282,P0030,C00516,WH04,2024-02-05,2,Damaged,5586.27
RET0000167,ORD00003284,P0031,C00526,WH01,2024-01-30,1,Wrong Product,627.46
RET0000168,ORD00003287,P0031,C00770,WH04,2024-01-30,1,Wrong Product,660.48
RET0000169,ORD00003294,P0033,C00388,WH01,2024-01-28,1,Quality Issue,2555.35
RET0000170,ORD00003343,P0002,C00861,WH05,2024-01-26,2,Late Delivery,1843.87
RET0000171,ORD00003345,P0003,C00176,WH02,2024-02-06,2,Quality Issue,2440.58
RET0000172,ORD00003354,P0005,C00880,WH01,2024-01-31,1,Damaged,1650.77
RET0000173,ORD00003382,P0010,C00625,WH04,2024-02-02,1,Quality Issue,3567.8
RET0000174,ORD00003407,P0015,C00758,WH04,2024-01-25,2,Late Delivery,618.2
RET0000175,ORD00003431,P0020,C00631,WH03,2024-02-05,1,Quality Issue,3034.72
RET0000176,ORD00003435,P0021,C00536,WH02,2024-02-03,2,Quality Issue,1681.82
RET0000177,ORD00003468,P0028,C00715,WH02,2024-01-22,1,Damaged,4304.95
RET0000178,ORD00003494,P0033,C00814,WH03,2024-02-06,1,Late Delivery,2555.35
RET0000179,ORD00003498,P0034,C00394,WH02,2024-02-06,1,Wrong Product,4112.91
RET0000180,ORD00003504,P0035,C00172,WH04,2024-02-04,1,Customer Changed Mind,2019.29
RET0000181,ORD00003550,P0005,C00777,WH01,2024-02-08,1,Wrong Product,1650.77
RET0000182,ORD00003558,P0006,C00103,WH04,2024-01-23,2,Wrong Product,6883.49
RET0000183,ORD00003601,P0015,C00725,WH02,2024-01-27,1,Damaged,325.37
RET0000184,ORD00003611,P0017,C00333,WH02,2024-01-25,2,Quality Issue,2229.66
RET0000185,ORD00003642,P0023,C00320,WH03,2024-02-07,1,Customer Changed Mind,897.51
RET0000186,ORD00003643,P0023,C00635,WH04,2024-02-03,2,Customer Changed Mind,1795.02
RET0000187,ORD00003645,P0024,C00305,WH01,2024-01-31,2,Damaged,1725.49
RET0000188,ORD00003678,P0030,C00024,WH04,2024-01-31,2,Quality Issue,6572.08
RET0000189,ORD00003690,P0033,C00561,WH01,2024-01-30,1,Customer Changed Mind,2555.35
RET0000190,ORD00003715,P0038,C00394,WH02,2024-02-05,2,Quality Issue,4318.0
RET0000191,ORD00003773,P0010,C00356,WH02,2024-02-08,2,Late Delivery,6422.04
RET0000192,ORD00003783,P0012,C00508,WH04,2024-01-28,2,Quality Issue,5560.78
RET0000193,ORD00003837,P0023,C00356,WH03,2024-01-29,2,Quality Issue,1705.27
RET0000194,ORD00003848,P0025,C00353,WH04,2024-02-06,1,Wrong Product,1786.4
RET0000195,ORD00003856,P0027,C00940,WH02,2024-02-04,1,Quality Issue,692.43
RET0000196,ORD00003874,P0030,C00783,WH05,2024-02-08,2,Quality Issue,6374.92
RET0000197,ORD00003891,P0034,C00346,WH03,2024-01-24,1,Damaged,3701.62
RET0000198,ORD00003930,P0002,C00682,WH03,2024-01-29,2,Wrong Product,1900.9
RET0000199,ORD00003939,P0004,C00025,WH02,2024-01-27,1,Quality Issue,2227.7
RET0000200,ORD00003950,P0006,C00874,WH04,2024-02-10,2,Quality Issue,6521.2
RET0000201,ORD00003953,P0007,C00326,WH02,2024-01-28,2,Customer Changed Mind,5913.24
RET0000202,ORD00003976,P0012,C00654,WH01,2024-02-07,2,Late Delivery,5251.84
RET0000203,ORD00003978,P0012,C00491,WH03,2024-01-24,2,Damaged,5993.28
RET0000204,ORD00003988,P0014,C00184,WH04,2024-02-09,2,Quality Issue,5110.58
RET0000205,ORD00004115,P0040,C00027,WH04,2024-02-02,2,Quality Issue,1820.79
RET0000206,ORD00004117,P0001,C00024,WH01,2024-02-06,1,Quality Issue,1618.37
RET0000207,ORD00004135,P0004,C00487,WH04,2024-02-02,1,Quality Issue,2116.31
RET0000208,ORD00004148,P0007,C00955,WH04,2024-02-02,1,Customer Changed Mind,2956.62
RET0000209,ORD00004159,P0010,C00502,WH01,2024-01-25,1,Quality Issue,3567.8
RET0000210,ORD00004174,P0013,C00820,WH01,2024-01-29,1,Damaged,3614.28
RET0000211,ORD00004216,P0021,C00579,WH03,2024-02-11,1,Customer Changed Mind,798.86
RET0000212,ORD00004225,P0023,C00938,WH02,2024-02-11,1,Damaged,897.51
RET0000213,ORD00004244,P0027,C00723,WH01,2024-02-08,2,Quality Issue,1538.74
RET0000214,ORD00004273,P0032,C00400,WH05,2024-02-06,2,Wrong Product,3708.22
RET0000215,ORD00004281,P0034,C00550,WH04,2024-02-09,1,Customer Changed Mind,4112.91
RET0000216,ORD00004292,P0036,C00205,WH05,2024-01-31,1,Customer Changed Mind,2673.78
RET0000217,ORD00004315,P0001,C00928,WH03,2024-01-30,1,Quality Issue,1798.19
RET0000218,ORD00004329,P0004,C00447,WH02,2024-01-26,1,Quality Issue,2227.7
RET0000219,ORD00004355,P0009,C00326,WH04,2024-01-31,2,Late Delivery,6094.21
RET0000220,ORD00004357,P0010,C00243,WH01,2024-01-26,2,Damaged,7135.6
RET0000221,ORD00004418,P0022,C00451,WH03,2024-01-27,1,Quality Issue,611.26
RET0000222,ORD00004440,P0026,C00586,WH05,2024-02-06,2,Damaged,5557.87
RET0000223,ORD00004459,P0030,C00764,WH04,2024-02-10,2,Customer Changed Mind,6572.08
RET0000224,ORD00004484,P0035,C00871,WH05,2024-02-04,1,Late Delivery,2019.29
RET0000225,ORD00004500,P0039,C00454,WH01,2024-02-10,1,Quality Issue,636.09
RET0000226,ORD00004518,P0002,C00779,WH04,2024-01-27,1,Late Delivery,950.45
RET0000227,ORD00004532,P0005,C00752,WH03,2024-02-05,2,Quality Issue,2971.39
RET0000228,ORD00004604,P0020,C00502,WH01,2024-01-31,1,Damaged,2882.98
RET0000229,ORD00004622,P0023,C00048,WH04,2024-02-02,1,Customer Changed Mind,852.63
RET0000230,ORD00004633,P0025,C00178,WH05,2024-01-30,2,Quality Issue,3572.8
RET0000231,ORD00004640,P0027,C00613,WH02,2024-01-30,1,Quality Issue,769.37
RET0000232,ORD00004644,P0028,C00456,WH01,2024-02-04,1,Damaged,4175.8
RET0000233,ORD00004665,P0032,C00569,WH02,2024-02-08,2,Late Delivery,3502.2
RET0000234,ORD00004689,P0037,C00836,WH02,2024-02-04,1,Damaged,1744.29
RET0000235,ORD00004706,P0040,C00318,WH04,2024-02-07,1,Late Delivery,910.4
RET0000236,ORD00004736,P0007,C00172,WH01,2024-02-05,1,Wrong Product,2956.62
RET0000237,ORD00004749,P0009,C00202,WH04,2024-01-28,1,Damaged,3111.26
RET0000238,ORD00004759,P0011,C00275,WH04,2024-02-04,2,Customer Changed Mind,1493.22
RET0000239,ORD00004778,P0015,C00365,WH03,2024-02-10,2,Quality Issue,631.22
RET0000240,ORD00004791,P0018,C00366,WH01,2024-02-09,2,Quality Issue,2595.99
RET0000241,ORD00004794,P0018,C00075,WH04,2024-02-13,1,Wrong Product,1366.31
RET0000242,ORD00004795,P0018,C00866,WH05,2024-02-14,1,Customer Changed Mind,1366.31
RET0000243,ORD00004810,P0021,C00008,WH05,2024-02-07,2,Quality Issue,1681.82
RET0000244,ORD00004856,P0031,C00948,WH04,2024-02-03,2,Damaged,1254.91
RET0000245,ORD00004862,P0032,C00621,WH05,2024-02-13,2,Customer Changed Mind,4120.24
RET0000246,ORD00004872,P0034,C00834,WH05,2024-02-08,1,Wrong Product,4112.91
RET0000247,ORD00004893,P0039,C00046,WH01,2024-02-09,1,Customer Changed Mind,636.09
RET0000248,ORD00004904,P0001,C00432,WH03,2024-02-08,2,Damaged,3056.92
RET0000249,ORD00004926,P0005,C00525,WH05,2024-02-03,1,Damaged,1485.69
RET0000250,ORD00004993,P0019,C00581,WH03,2024-01-31,2,Damaged,5240.66
RET0000251,ORD00005008,P0022,C00061,WH03,2024-02-06,2,Customer Changed Mind,1161.39
RET0000252,ORD00005020,P0024,C00344,WH05,2024-02-06,2,Wrong Product,1778.86
RET0000253,ORD00005037,P0028,C00084,WH02,2024-02-01,2,Damaged,7748.91
RET0000254,ORD00005042,P0029,C00249,WH02,2024-02-05,1,Quality Issue,4643.0
RET0000255,ORD00005062,P0033,C00977,WH02,2024-02-09,1,Quality Issue,2555.35
RET0000256,ORD00005086,P0038,C00602,WH01,2024-02-10,1,Customer Changed Mind,2272.63
RET0000257,ORD00005116,P0004,C00273,WH01,2024-02-12,2,Wrong Product,4232.63
RET0000258,ORD00005136,P0008,C00845,WH02,2024-02-10,1,Quality Issue,920.25
RET0000259,ORD00005150,P0011,C00822,WH01,2024-02-07,1,Quality Issue,746.61
RET0000260,ORD00005176,P0016,C00245,WH02,2024-02-14,1,Damaged,1054.92
RET0000261,ORD00005194,P0020,C00267,WH01,2024-02-10,1,Quality Issue,2943.68
RET0000262,ORD00005221,P0025,C00818,WH03,2024-02-01,2,Wrong Product,3215.52
RET0000263,ORD00005245,P0030,C00651,WH02,2024-02-05,2,Quality Issue,6374.92
RET0000264,ORD00005265,P0034,C00728,WH03,2024-01-30,1,Quality Issue,4112.91
RET0000265,ORD00005268,P0035,C00716,WH03,2024-02-16,2,Late Delivery,4251.14
RET0000266,ORD00005305,P0002,C00526,WH05,2024-02-01,2,Quality Issue,1710.81
RET0000267,ORD00005309,P0003,C00196,WH04,2024-02-03,1,Quality Issue,1183.68
RET0000268,ORD00005310,P0003,C00683,WH05,2024-02-04,1,Quality Issue,1098.26
RET0000269,ORD00005336,P0009,C00918,WH01,2024-02-16,2,Quality Issue,6222.51
RET0000270,ORD00005338,P0009,C00279,WH03,2024-01-31,1,Quality Issue,3047.11
RET0000271,ORD00005374,P0016,C00165,WH04,2024-02-06,1,Quality Issue,1110.44
RET0000272,ORD00005400,P0021,C00727,WH05,2024-02-15,2,Quality Issue,1681.82
RET0000273,ORD00005408,P0023,C00585,WH03,2024-01-31,2,Quality Issue,1705.27
RET0000274,ORD00005463,P0034,C00744,WH03,2024-02-04,1,Damaged,3907.26
RET0000275,ORD00005467,P0035,C00745,WH02,2024-02-16,2,Customer Changed Mind,4251.14
RET0000276,ORD00005487,P0039,C00621,WH02,2024-02-13,2,Damaged,1311.52
RET0000277,ORD00005507,P0003,C00657,WH02,2024-02-16,2,Quality Issue,2440.58
RET0000278,ORD00005512,P0004,C00434,WH02,2024-02-10,2,Damaged,4321.74
RET0000279,ORD00005519,P0005,C00530,WH04,2024-02-06,2,Wrong Product,3202.49
RET0000280,ORD00005566,P0015,C00727,WH01,2024-02-05,1,Wrong Product,325.37
RET0000281,ORD00005573,P0016,C00859,WH03,2024-02-03,2,Quality Issue,2220.88
RET0000282,ORD00005591,P0020,C00322,WH01,2024-02-04,1,Quality Issue,3034.72
RET0000283,ORD00005620,P0026,C00520,WH01,2024-02-12,2,Quality Issue,5729.76
RET0000284,ORD00005625,P0027,C00090,WH01,2024-02-07,1,Quality Issue,769.37
RET0000285,ORD00005635,P0029,C00033,WH01,2024-02-02,2,Damaged,9286.0
RET0000286,ORD00005659,P0034,C00476,WH01,2024-02-02,2,Damaged,8225.82
RET0000287,ORD00005675,P0037,C00530,WH03,2024-02-12,2,Quality Issue,3672.18
RET0000288,ORD00005698,P0002,C00616,WH01,2024-02-11,2,Damaged,1710.81
RET0000289,ORD00005701,P0002,C00062,WH04,2024-02-18,2,Damaged,1843.87
RET0000290,ORD00005705,P0003,C00436,WH03,2024-02-10,2,Quality Issue,2440.58
RET0000291,ORD00005722,P0007,C00556,WH01,2024-02-04,1,Wrong Product,2956.62
RET0000292,ORD00005724,P0007,C00851,WH03,2024-02-05,2,Quality Issue,5617.58
RET0000293,ORD00005760,P0014,C00232,WH04,2024-02-18,1,Late Delivery,2502.6
RET0000294,ORD00005765,P0015,C00720,WH04,2024-02-16,1,Quality Issue,325.37
RET0000295,ORD00005779,P0018,C00718,WH03,2024-02-15,2,Wrong Product,2732.62
RET0000296,ORD00005809,P0024,C00730,WH03,2024-02-11,1,Wrong Product,800.49
RET0000297,ORD00005818,P0026,C00071,WH02,2024-02-10,1,Late Delivery,2778.93
RET0000298,ORD00005844,P0031,C00885,WH03,2024-02-15,2,Wrong Product,1188.86
RET0000299,ORD00005861,P0035,C00028,WH02,2024-02-15,1,Customer Changed Mind,2019.29
RET0000300,ORD00005883,P0039,C00680,WH04,2024-02-18,1,Customer Changed Mind,655.76
RET0000301,ORD00005886,P0040,C00189,WH02,2024-02-05,1,Customer Changed Mind,910.4
